number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_take_profit,params_trend_sma_period,state
526,6635.840293819715,2025-09-03 13:39:10.436902,2025-09-03 13:40:02.822727,0 days 00:00:52.385825,6,14,11,24,28,68,144,2.310306984956042,6,COMPLETE
527,-inf,2025-09-03 13:39:30.593827,2025-09-03 13:39:34.853260,0 days 00:00:04.259433,42,13,7,24,28,68,41,4.779268684135379,27,COMPLETE
528,10912.478411597169,2025-09-03 13:39:34.908499,2025-09-03 13:40:29.301126,0 days 00:00:54.392627,7,14,7,28,30,69,160,4.679715863412409,6,COMPLETE
529,272456.11761841923,2025-09-03 13:39:43.110425,2025-09-03 13:40:37.469655,0 days 00:00:54.359230,7,13,7,21,30,70,39,4.677237527931885,5,COMPLETE
530,4807.163556840054,2025-09-03 13:40:01.541938,2025-09-03 13:40:58.061615,0 days 00:00:56.519677,7,13,11,21,30,70,236,4.724640174181787,5,COMPLETE
531,4718.772439538955,2025-09-03 13:40:02.845308,2025-09-03 13:40:58.963354,0 days 00:00:56.118046,8,13,10,37,30,69,236,4.695660450055344,5,COMPLETE
532,150287.7903051465,2025-09-03 13:40:29.338789,2025-09-03 13:41:24.298287,0 days 00:00:54.959498,8,13,10,25,30,70,39,4.997696251037929,7,COMPLETE
533,112556.11849620077,2025-09-03 13:40:37.503079,2025-09-03 13:41:32.281289,0 days 00:00:54.778210,8,16,6,25,29,70,51,3.6414927218149074,5,COMPLETE
534,-inf,2025-09-03 13:40:58.158913,2025-09-03 13:41:49.588043,0 days 00:00:51.429130,8,15,10,25,15,38,38,3.681481390863641,7,COMPLETE
535,161315.64116638553,2025-09-03 13:40:58.964565,2025-09-03 13:41:50.899476,0 days 00:00:51.934911,8,6,10,25,29,68,50,4.805535741384555,7,COMPLETE
536,188943.84855315945,2025-09-03 13:41:24.368070,2025-09-03 13:42:20.385905,0 days 00:00:56.017835,5,12,12,22,29,68,45,4.814872975462428,5,COMPLETE
537,162876.2698489066,2025-09-03 13:41:32.298731,2025-09-03 13:42:26.232408,0 days 00:00:53.933677,5,14,11,23,28,68,45,4.832763290463098,5,COMPLETE
538,212739.82370756616,2025-09-03 13:41:49.599811,2025-09-03 13:42:43.579452,0 days 00:00:53.979641,5,12,12,27,28,68,44,4.807096149258027,5,COMPLETE
539,287757.7634106329,2025-09-03 13:41:50.900361,2025-09-03 13:42:43.796788,0 days 00:00:52.896427,5,12,12,19,28,68,43,4.816864565833648,5,COMPLETE
540,161938.39136805004,2025-09-03 13:42:20.397988,2025-09-03 13:43:16.112494,0 days 00:00:55.714506,5,14,11,27,28,69,34,4.915391525919145,6,COMPLETE
541,157835.7492756694,2025-09-03 13:42:26.236273,2025-09-03 13:43:18.835423,0 days 00:00:52.599150,6,12,12,26,28,69,34,4.919128413278712,6,COMPLETE
542,167503.9157140156,2025-09-03 13:42:43.650955,2025-09-03 13:43:39.289918,0 days 00:00:55.638963,6,14,13,23,29,69,34,4.912691702727586,6,COMPLETE
543,12262.066583183692,2025-09-03 13:42:43.802808,2025-09-03 13:43:39.688070,0 days 00:00:55.885262,7,14,13,18,5,66,34,4.997866824613018,6,COMPLETE
544,240470.75275915812,2025-09-03 13:43:16.139778,2025-09-03 13:44:09.150237,0 days 00:00:53.010459,7,8,10,19,27,66,37,4.99877718369866,6,COMPLETE
545,154832.27396617964,2025-09-03 13:43:18.846970,2025-09-03 13:44:10.284488,0 days 00:00:51.437518,7,13,13,16,27,66,38,4.914591351966409,6,COMPLETE
546,143680.09319718214,2025-09-03 13:43:39.430945,2025-09-03 13:44:34.253322,0 days 00:00:54.822377,9,13,5,23,27,66,38,3.168927514056792,5,COMPLETE
547,245527.4996361739,2025-09-03 13:43:39.726345,2025-09-03 13:44:33.888583,0 days 00:00:54.162238,9,15,10,19,27,66,39,4.747770192708275,5,COMPLETE
548,320475.81715144607,2025-09-03 13:44:09.183234,2025-09-03 13:45:07.563341,0 days 00:00:58.380107,9,15,11,32,27,67,39,4.6276545695869284,5,COMPLETE
549,12481.61303011485,2025-09-03 13:44:10.334217,2025-09-03 13:45:08.243764,0 days 00:00:57.909547,30,13,11,16,28,67,58,4.7612387104566265,5,COMPLETE
550,211.6555645042415,2025-09-03 13:44:33.910475,2025-09-03 13:45:27.678992,0 days 00:00:53.768517,9,13,11,18,28,44,41,4.629575693695339,5,COMPLETE
551,315.68828626918184,2025-09-03 13:44:34.260470,2025-09-03 13:45:25.529723,0 days 00:00:51.269253,9,11,8,24,28,43,34,4.637060444249794,5,COMPLETE
552,217450.25475758422,2025-09-03 13:45:07.580500,2025-09-03 13:46:02.700667,0 days 00:00:55.120167,9,15,11,31,28,67,42,4.620474405773693,5,COMPLETE
553,23186.563312022954,2025-09-03 13:45:08.271097,2025-09-03 13:46:03.381199,0 days 00:00:55.110102,9,16,11,36,27,67,48,1.0258534879316392,5,COMPLETE
554,183156.35847979004,2025-09-03 13:45:25.630767,2025-09-03 13:46:18.538543,0 days 00:00:52.907776,9,16,11,33,27,67,47,4.624850983007763,5,COMPLETE
555,91169.0919188284,2025-09-03 13:45:27.739889,2025-09-03 13:46:20.988248,0 days 00:00:53.248359,10,15,11,30,27,67,50,3.4543472145688234,5,COMPLETE
556,1953.2328187208395,2025-09-03 13:46:02.803330,2025-09-03 13:46:57.464667,0 days 00:00:54.661337,9,16,11,35,27,51,48,4.712265728931023,5,COMPLETE
557,-inf,2025-09-03 13:46:03.419629,2025-09-03 13:46:56.984153,0 days 00:00:53.564524,10,15,11,32,27,30,54,4.7246979519050365,6,COMPLETE
558,149068.01103621325,2025-09-03 13:46:18.592120,2025-09-03 13:47:08.342193,0 days 00:00:49.750073,11,15,10,32,27,68,35,4.748616248341418,6,COMPLETE
559,239574.37235961732,2025-09-03 13:46:21.018491,2025-09-03 13:47:12.047875,0 days 00:00:51.029384,7,14,10,19,27,68,34,4.728809305859622,6,COMPLETE
560,257650.6010270016,2025-09-03 13:46:57.001441,2025-09-03 13:47:47.594775,0 days 00:00:50.593334,7,14,10,17,28,68,33,4.836770916803348,6,COMPLETE
561,-inf,2025-09-03 13:46:57.481547,2025-09-03 13:47:03.811640,0 days 00:00:06.330093,62,14,10,17,28,68,34,4.840294156946463,6,COMPLETE
562,-inf,2025-09-03 13:47:03.834881,2025-09-03 13:47:54.068140,0 days 00:00:50.233259,7,14,10,21,27,33,42,4.839642505682219,6,COMPLETE
563,198664.13739994034,2025-09-03 13:47:08.416876,2025-09-03 13:47:58.597186,0 days 00:00:50.180310,7,14,8,20,28,68,41,4.831997790635173,5,COMPLETE
564,262641.0902349346,2025-09-03 13:47:12.082723,2025-09-03 13:48:06.436722,0 days 00:00:54.353999,7,14,6,20,28,68,40,4.8435340431222755,5,COMPLETE
565,49847.976672908,2025-09-03 13:47:47.606311,2025-09-03 13:48:41.070929,0 days 00:00:53.464618,7,14,8,20,29,69,42,1.5633155892756294,5,COMPLETE
566,194247.72662116576,2025-09-03 13:47:54.132221,2025-09-03 13:48:46.912705,0 days 00:00:52.780484,6,14,8,40,29,69,39,4.609307922051053,5,COMPLETE
567,216190.89799774782,2025-09-03 13:47:58.655826,2025-09-03 13:48:51.460562,0 days 00:00:52.804736,6,14,8,22,29,69,39,4.634706140576126,5,COMPLETE
568,273505.5008929677,2025-09-03 13:48:06.454106,2025-09-03 13:48:57.518512,0 days 00:00:51.064406,5,15,7,35,17,69,37,4.621886683446258,5,COMPLETE
569,289201.9260629359,2025-09-03 13:48:41.149828,2025-09-03 13:49:35.089702,0 days 00:00:53.939874,5,15,7,22,29,69,38,4.641515990860276,5,COMPLETE
570,276366.9728944991,2025-09-03 13:48:46.950773,2025-09-03 13:49:40.768880,0 days 00:00:53.818107,5,15,14,22,17,67,33,4.898811598175289,5,COMPLETE
571,49540.47782664322,2025-09-03 13:48:51.546574,2025-09-03 13:49:44.378987,0 days 00:00:52.832413,5,15,7,24,8,66,30,4.9061112002781275,7,COMPLETE
572,213227.63300168893,2025-09-03 13:48:57.524642,2025-09-03 13:49:49.356252,0 days 00:00:51.831610,8,15,11,28,30,66,30,4.754392543483486,7,COMPLETE
573,110993.47498879414,2025-09-03 13:49:35.169373,2025-09-03 13:50:29.607857,0 days 00:00:54.438484,11,15,7,24,10,70,30,4.696594770802274,7,COMPLETE
574,80087.18131598707,2025-09-03 13:49:40.825870,2025-09-03 13:50:34.458269,0 days 00:00:53.632399,8,15,7,24,28,70,33,1.9777332798802472,7,COMPLETE
575,52762.256456845374,2025-09-03 13:49:44.390810,2025-09-03 13:50:36.621075,0 days 00:00:52.230265,8,15,7,24,28,70,33,4.684776546820063,14,COMPLETE
576,211791.12168765374,2025-09-03 13:49:49.430847,2025-09-03 13:50:41.867186,0 days 00:00:52.436339,11,15,7,30,28,70,34,4.644191329876848,6,COMPLETE
577,88214.22592056636,2025-09-03 13:50:29.671723,2025-09-03 13:51:21.678052,0 days 00:00:52.006329,25,15,6,26,28,70,36,4.6767776566369905,6,COMPLETE
578,206440.04651707778,2025-09-03 13:50:34.558354,2025-09-03 13:51:29.187138,0 days 00:00:54.628784,8,16,7,34,27,70,37,4.66957916771951,6,COMPLETE
579,187718.45792069696,2025-09-03 13:50:36.628530,2025-09-03 13:51:29.971367,0 days 00:00:53.342837,11,14,7,30,27,69,37,4.999712210153587,6,COMPLETE
580,31021.24385837852,2025-09-03 13:50:41.903675,2025-09-03 13:51:35.820401,0 days 00:00:53.916726,6,14,7,26,29,69,38,4.761724402818944,15,COMPLETE
581,20468.428067122146,2025-09-03 13:51:21.694732,2025-09-03 13:52:09.529081,0 days 00:00:47.834349,6,14,8,34,29,68,38,4.763842803380978,19,COMPLETE
582,173234.06355664216,2025-09-03 13:51:29.220799,2025-09-03 13:52:18.048305,0 days 00:00:48.827506,10,14,8,25,29,69,45,4.777822115421611,5,COMPLETE
583,117934.26960591991,2025-09-03 13:51:29.983849,2025-09-03 13:52:19.291491,0 days 00:00:49.307642,6,14,8,27,29,68,45,4.752456712094748,5,COMPLETE
584,-inf,2025-09-03 13:51:35.832586,2025-09-03 13:51:45.551919,0 days 00:00:09.719333,51,14,8,22,14,68,45,4.885335071528776,5,COMPLETE
585,146109.77696451556,2025-09-03 13:51:45.647970,2025-09-03 13:52:36.509763,0 days 00:00:50.861793,9,14,8,25,29,68,46,4.7801194536757485,5,COMPLETE
586,119391.12891010597,2025-09-03 13:52:09.582263,2025-09-03 13:53:01.250888,0 days 00:00:51.668625,10,14,9,25,28,69,44,4.9012659451094045,5,COMPLETE
587,403602.2780084131,2025-09-03 13:52:18.070693,2025-09-03 13:53:08.949699,0 days 00:00:50.879006,9,14,9,23,27,68,30,4.902838905695787,5,COMPLETE
588,436921.86876933236,2025-09-03 13:52:19.308145,2025-09-03 13:53:10.590765,0 days 00:00:51.282620,8,14,6,23,27,69,30,4.913558141528331,5,COMPLETE
589,697754.0435234994,2025-09-03 13:52:36.547781,2025-09-03 13:53:28.721574,0 days 00:00:52.173793,5,11,9,23,28,69,30,4.909343477994643,5,COMPLETE
590,289814.0682002263,2025-09-03 13:53:01.282413,2025-09-03 13:53:54.405300,0 days 00:00:53.122887,8,15,9,23,27,67,33,4.913819006475043,5,COMPLETE
591,221359.31789917342,2025-09-03 13:53:08.961648,2025-09-03 13:54:02.954066,0 days 00:00:53.992418,7,14,10,23,28,67,33,4.998604017195122,6,COMPLETE
592,494977.6274924372,2025-09-03 13:53:10.711165,2025-09-03 13:54:03.918717,0 days 00:00:53.207552,5,15,6,23,28,69,33,4.996902127841566,5,COMPLETE
593,93250.16831843069,2025-09-03 13:53:28.749026,2025-09-03 13:54:20.206803,0 days 00:00:51.457777,7,11,5,23,28,69,76,4.915596405281709,5,COMPLETE
594,415118.4991784384,2025-09-03 13:53:54.536580,2025-09-03 13:54:50.368706,0 days 00:00:55.832126,9,11,6,23,28,69,30,4.991908883321955,6,COMPLETE
595,446303.54517717526,2025-09-03 13:54:03.004996,2025-09-03 13:58:05.135778,0 days 00:04:02.130782,9,11,6,23,21,69,30,4.924993385535172,5,COMPLETE
596,80538.20992397664,2025-09-03 13:54:03.937698,2025-09-03 13:58:06.692971,0 days 00:04:02.755273,9,11,6,23,27,69,78,4.926858656093653,6,COMPLETE
597,363379.6301148976,2025-09-03 13:54:20.239218,2025-09-03 13:58:19.751309,0 days 00:03:59.512091,12,15,6,24,27,68,30,4.9329106093513335,6,COMPLETE
598,301612.2209013422,2025-09-03 13:54:50.370253,2025-09-03 13:58:59.103508,0 days 00:04:08.733255,12,11,6,38,28,69,33,4.977947028542187,6,COMPLETE
599,334284.9122538428,2025-09-03 13:58:05.149184,2025-09-03 13:59:02.522155,0 days 00:00:57.372971,12,11,6,23,21,69,30,4.992739538757059,6,COMPLETE
600,31101.068138042454,2025-09-03 13:58:06.722066,2025-09-03 13:59:04.243835,0 days 00:00:57.521769,12,11,6,24,21,69,30,4.984411555445982,25,COMPLETE
601,393802.7536753276,2025-09-03 13:58:19.779273,2025-09-03 13:59:19.352194,0 days 00:00:59.572921,11,11,6,23,27,70,30,4.987397630198164,6,COMPLETE
602,30427.583451892482,2025-09-03 13:58:59.151904,2025-09-03 13:59:55.727669,0 days 00:00:56.575765,12,11,6,23,21,70,30,4.938473876090997,25,COMPLETE
603,107999.21135151396,2025-09-03 13:59:02.535082,2025-09-03 13:59:59.320368,0 days 00:00:56.785286,14,11,5,23,18,70,30,4.995933884793694,7,COMPLETE
604,108085.24042816857,2025-09-03 13:59:04.262821,2025-09-03 14:00:02.773957,0 days 00:00:58.511136,14,11,5,23,18,70,30,4.996849312381498,7,COMPLETE
605,110979.99575459547,2025-09-03 13:59:19.395125,2025-09-03 14:00:12.154063,0 days 00:00:52.758938,14,11,5,23,19,70,30,4.980366762130903,7,COMPLETE
606,128328.08671362973,2025-09-03 13:59:55.750225,2025-09-03 14:00:51.727904,0 days 00:00:55.977679,11,11,5,23,20,70,30,4.991542983053577,8,COMPLETE
607,111457.4837396071,2025-09-03 13:59:59.346109,2025-09-03 14:00:56.785694,0 days 00:00:57.439585,15,11,6,22,30,70,30,4.979885653958945,7,COMPLETE
608,119001.56189410608,2025-09-03 14:00:02.796205,2025-09-03 14:00:59.123944,0 days 00:00:56.327739,13,11,6,22,22,70,30,4.914819095606245,7,COMPLETE
609,140804.3853016019,2025-09-03 14:00:12.165868,2025-09-03 14:01:08.158445,0 days 00:00:55.992577,15,11,6,22,16,70,34,4.994689030526852,7,COMPLETE
610,96268.42965447965,2025-09-03 14:00:51.823168,2025-09-03 14:01:47.127279,0 days 00:00:55.304111,17,11,6,22,20,69,34,4.899226760241959,7,COMPLETE
611,194832.95365083666,2025-09-03 14:00:56.818685,2025-09-03 14:01:52.105022,0 days 00:00:55.286337,13,10,6,22,22,69,34,4.882585735508566,6,COMPLETE
612,113331.32610375824,2025-09-03 14:00:59.140934,2025-09-03 14:01:53.258552,0 days 00:00:54.117618,16,10,6,24,21,69,34,4.859412241756538,6,COMPLETE
613,108708.9211000502,2025-09-03 14:01:08.253977,2025-09-03 14:02:00.399660,0 days 00:00:52.145683,16,10,6,24,27,69,34,4.874587498171515,6,COMPLETE
614,233538.67420714686,2025-09-03 14:01:47.206189,2025-09-03 14:02:41.010332,0 days 00:00:53.804143,12,10,6,24,22,69,34,4.862905321602625,6,COMPLETE
615,244429.42438265143,2025-09-03 14:01:52.154949,2025-09-03 14:02:46.096342,0 days 00:00:53.941393,12,10,6,24,21,69,34,4.861696876319166,6,COMPLETE
616,263042.87303801713,2025-09-03 14:01:53.270385,2025-09-03 14:02:46.853553,0 days 00:00:53.583168,12,11,6,24,27,69,34,4.870363347982039,6,COMPLETE
617,287304.5571415202,2025-09-03 14:02:00.453062,2025-09-03 14:02:54.893414,0 days 00:00:54.440352,12,10,6,23,19,68,34,4.890368551292666,6,COMPLETE
618,41139.759739359484,2025-09-03 14:02:41.038657,2025-09-03 14:03:36.187213,0 days 00:00:55.148556,11,11,6,23,30,68,126,4.99976478275443,8,COMPLETE
619,277694.20766698464,2025-09-03 14:02:46.119544,2025-09-03 14:03:41.538983,0 days 00:00:55.419439,11,11,6,23,20,68,34,4.92553032231602,6,COMPLETE
620,14503.761355199988,2025-09-03 14:02:46.866610,2025-09-03 14:03:40.104559,0 days 00:00:53.237949,11,9,5,23,30,68,36,0.6157664759712418,6,COMPLETE
621,1494.2340582318134,2025-09-03 14:02:54.947966,2025-09-03 14:03:45.711918,0 days 00:00:50.763952,10,16,6,23,30,68,30,0.5065900606503972,22,COMPLETE
622,314076.8463848941,2025-09-03 14:03:36.234843,2025-09-03 14:04:28.721144,0 days 00:00:52.486301,10,9,6,21,15,70,30,4.918417191110124,6,COMPLETE
623,387973.6620545196,2025-09-03 14:03:40.133821,2025-09-03 14:04:35.369089,0 days 00:00:55.235268,10,11,6,21,27,70,30,4.999704675570666,6,COMPLETE
624,371805.0534993121,2025-09-03 14:03:41.572402,2025-09-03 14:04:38.831043,0 days 00:00:57.258641,10,12,6,22,27,70,30,4.818642332804698,6,COMPLETE
625,169692.18894624215,2025-09-03 14:03:45.773356,2025-09-03 14:04:41.501963,0 days 00:00:55.728607,10,11,5,21,27,70,40,4.802629467987883,6,COMPLETE
626,183431.33157507025,2025-09-03 14:04:28.869100,2025-09-03 14:05:20.170702,0 days 00:00:51.301602,10,12,5,22,27,70,38,4.840953717049766,6,COMPLETE
627,271596.2739007428,2025-09-03 14:04:35.375396,2025-09-03 14:05:28.888137,0 days 00:00:53.512741,10,11,5,21,27,70,30,4.996873102715249,7,COMPLETE
628,127357.89247747284,2025-09-03 14:04:38.864998,2025-09-03 14:05:37.280887,0 days 00:00:58.415889,13,11,5,21,27,70,30,4.99029539084348,7,COMPLETE
629,264589.9762054085,2025-09-03 14:04:41.518455,2025-09-03 14:05:39.704875,0 days 00:00:58.186420,10,12,6,22,27,70,30,4.990588314090979,7,COMPLETE
630,120289.53086562458,2025-09-03 14:05:20.245956,2025-09-03 14:06:14.540900,0 days 00:00:54.294944,13,11,6,21,26,70,30,4.993024417835526,7,COMPLETE
631,128701.3593423726,2025-09-03 14:05:28.927001,2025-09-03 14:06:23.803060,0 days 00:00:54.876059,13,11,6,22,26,70,30,4.9966263683819205,7,COMPLETE
632,227137.5624172388,2025-09-03 14:05:37.298431,2025-09-03 14:06:31.305417,0 days 00:00:54.006986,12,12,6,22,26,70,30,4.997480631316686,7,COMPLETE
633,123504.57047514789,2025-09-03 14:05:39.731733,2025-09-03 14:06:34.344171,0 days 00:00:54.612438,13,12,6,22,26,69,30,4.917861421797111,7,COMPLETE
634,203577.38446225075,2025-09-03 14:06:14.542096,2025-09-03 14:07:08.985589,0 days 00:00:54.443493,12,12,6,22,28,69,35,4.896713252463913,6,COMPLETE
635,233392.42404231138,2025-09-03 14:06:23.804285,2025-09-03 14:07:19.199994,0 days 00:00:55.395709,11,12,6,22,28,69,34,4.8901149644948685,6,COMPLETE
636,294992.9238707437,2025-09-03 14:06:31.405892,2025-09-03 14:07:25.757250,0 days 00:00:54.351358,10,11,6,22,28,69,37,4.911273650341321,6,COMPLETE
637,161364.18612371295,2025-09-03 14:06:34.371761,2025-09-03 14:07:28.753739,0 days 00:00:54.381978,11,11,6,23,28,69,35,4.845260664439039,6,COMPLETE
638,338254.74545830744,2025-09-03 14:07:09.047566,2025-09-03 14:08:01.636919,0 days 00:00:52.589353,9,11,6,23,28,69,35,4.823471879614804,6,COMPLETE
639,314664.83616143063,2025-09-03 14:07:19.249540,2025-09-03 14:08:15.208704,0 days 00:00:55.959164,9,11,6,23,28,69,36,4.826621590579706,6,COMPLETE
640,94838.60390622569,2025-09-03 14:07:25.804108,2025-09-03 14:08:19.640821,0 days 00:00:53.836713,9,11,6,23,27,69,34,4.842328766349917,8,COMPLETE
641,243264.1367406347,2025-09-03 14:07:28.760565,2025-09-03 14:08:21.795524,0 days 00:00:53.034959,9,11,6,21,27,69,34,4.81279328733725,6,COMPLETE
642,151757.24122464476,2025-09-03 14:08:01.685144,2025-09-03 14:09:02.086496,0 days 00:01:00.401352,9,11,6,23,19,70,33,4.8254346473137035,8,COMPLETE
643,223980.75357924274,2025-09-03 14:08:15.236491,2025-09-03 14:09:10.630792,0 days 00:00:55.394301,9,10,5,24,19,70,34,4.905568515076864,6,COMPLETE
644,34481.2144844169,2025-09-03 14:08:19.654030,2025-09-03 14:09:17.176641,0 days 00:00:57.522611,15,10,5,24,29,70,30,4.90541092682487,13,COMPLETE
645,213848.09704219722,2025-09-03 14:08:21.848813,2025-09-03 14:09:17.204826,0 days 00:00:55.356013,11,10,5,24,29,70,30,4.908022665656586,7,COMPLETE
646,235813.66140576417,2025-09-03 14:09:02.109101,2025-09-03 14:09:56.534709,0 days 00:00:54.425608,14,10,5,24,29,68,30,4.922470222826486,6,COMPLETE
647,27081.196990216966,2025-09-03 14:09:10.637455,2025-09-03 14:10:06.766791,0 days 00:00:56.129336,11,11,5,24,29,54,37,4.916528386366638,7,COMPLETE
648,28991.65096411936,2025-09-03 14:09:17.195277,2025-09-03 14:10:15.340679,0 days 00:00:58.145402,10,11,6,24,28,68,37,4.915724066054407,18,COMPLETE
649,93079.26400429892,2025-09-03 14:09:17.227776,2025-09-03 14:10:14.183199,0 days 00:00:56.955423,14,11,6,23,28,68,37,4.785409265606049,7,COMPLETE
650,250519.33124567996,2025-09-03 14:09:56.651591,2025-09-03 14:10:53.801249,0 days 00:00:57.149658,8,11,6,23,28,68,37,4.797459747334631,6,COMPLETE
651,3182.0577208179093,2025-09-03 14:10:06.804958,2025-09-03 14:11:02.750078,0 days 00:00:55.945120,8,12,6,23,28,68,194,4.7852996451141365,18,COMPLETE
652,338317.61555330566,2025-09-03 14:10:14.205165,2025-09-03 14:11:12.620004,0 days 00:00:58.414839,8,12,6,21,28,68,34,4.996457678925548,6,COMPLETE
653,772.9092863029917,2025-09-03 14:10:15.348008,2025-09-03 14:11:13.333980,0 days 00:00:57.985972,49,12,6,21,28,68,217,4.783173321341235,6,COMPLETE
654,283918.5413795531,2025-09-03 14:10:53.807655,2025-09-03 14:11:50.426816,0 days 00:00:56.619161,8,12,6,21,28,69,34,4.817126408254089,6,COMPLETE
655,62924.11199678457,2025-09-03 14:11:02.782498,2025-09-03 14:12:00.366301,0 days 00:00:57.583803,10,12,6,22,29,69,94,4.992712697030452,6,COMPLETE
656,67697.67807927444,2025-09-03 14:11:12.668141,2025-09-03 14:12:09.996106,0 days 00:00:57.327965,11,12,6,21,28,67,30,4.993889067433586,10,COMPLETE
657,68161.80274815799,2025-09-03 14:11:13.354239,2025-09-03 14:12:11.824475,0 days 00:00:58.470236,11,12,6,21,28,67,30,4.986684047637813,10,COMPLETE
658,225315.89447900042,2025-09-03 14:11:50.433392,2025-09-03 14:12:47.324858,0 days 00:00:56.891466,12,12,6,20,27,67,30,4.986315184858722,7,COMPLETE
659,226729.5454510579,2025-09-03 14:12:00.386953,2025-09-03 14:12:54.178951,0 days 00:00:53.791998,12,12,6,20,27,67,30,4.998404050783298,7,COMPLETE
660,274613.2058344753,2025-09-03 14:12:10.044037,2025-09-03 14:13:03.882870,0 days 00:00:53.838833,12,11,6,20,27,70,30,4.990214564654524,7,COMPLETE
661,146046.02400231338,2025-09-03 14:12:11.841842,2025-09-03 14:13:07.778541,0 days 00:00:55.936699,10,11,6,20,27,70,34,4.921398423108353,7,COMPLETE
662,140848.66196590007,2025-09-03 14:12:47.347072,2025-09-03 14:13:43.120856,0 days 00:00:55.773784,8,11,6,22,27,70,34,4.911014958111712,8,COMPLETE
663,220680.2558917163,2025-09-03 14:12:54.196777,2025-09-03 14:13:49.989006,0 days 00:00:55.792229,8,11,5,22,27,70,39,4.908323820039363,6,COMPLETE
664,25862.908700200787,2025-09-03 14:13:03.929643,2025-09-03 14:14:03.068786,0 days 00:00:59.139143,8,11,5,22,28,70,40,2.8946307672872535,12,COMPLETE
665,196056.09331157667,2025-09-03 14:13:07.797024,2025-09-03 14:14:05.578395,0 days 00:00:57.781371,8,11,5,22,28,68,40,4.8728137938833544,6,COMPLETE
666,178321.96980933053,2025-09-03 14:13:43.191137,2025-09-03 14:14:43.262907,0 days 00:01:00.071770,8,11,7,22,28,68,40,4.861914768462967,6,COMPLETE
667,214879.1647737077,2025-09-03 14:13:50.001394,2025-09-03 14:14:48.606723,0 days 00:00:58.605329,9,10,7,23,28,68,40,4.874484656314727,6,COMPLETE
668,230343.99109058187,2025-09-03 14:14:03.117566,2025-09-03 14:15:01.433041,0 days 00:00:58.315475,10,10,6,23,26,68,34,4.853829635478894,6,COMPLETE
669,212218.58099478827,2025-09-03 14:14:05.606308,2025-09-03 14:15:05.949688,0 days 00:01:00.343380,10,17,7,23,26,68,34,4.875083227365255,6,COMPLETE
670,36834.68840123772,2025-09-03 14:14:43.274380,2025-09-03 14:15:40.634345,0 days 00:00:57.359965,10,16,6,23,26,69,103,4.739327802944826,5,COMPLETE
671,276376.66664591536,2025-09-03 14:14:48.625425,2025-09-03 14:15:44.246626,0 days 00:00:55.621201,10,16,6,21,26,69,35,4.752780659934869,5,COMPLETE
672,982.0630444819031,2025-09-03 14:15:01.483450,2025-09-03 14:15:56.362689,0 days 00:00:54.879239,10,12,6,21,7,69,225,4.746810465441275,5,COMPLETE
673,31243.244257499202,2025-09-03 14:15:05.956564,2025-09-03 14:16:02.755267,0 days 00:00:56.798703,7,9,6,43,29,69,34,4.771024759294733,16,COMPLETE
674,381197.5092405184,2025-09-03 14:15:40.664904,2025-09-03 14:16:36.697772,0 days 00:00:56.032868,7,12,6,21,29,69,34,4.764326888054892,5,COMPLETE
675,123048.87731086707,2025-09-03 14:15:44.312405,2025-09-03 14:16:39.436378,0 days 00:00:55.123973,7,9,6,25,7,69,35,4.797024231730777,5,COMPLETE
676,400425.90742393426,2025-09-03 14:15:56.374806,2025-09-03 14:16:53.161194,0 days 00:00:56.786388,7,12,6,25,29,69,34,4.93440486369109,5,COMPLETE
677,323531.18596606416,2025-09-03 14:16:02.761951,2025-09-03 14:17:01.580527,0 days 00:00:58.818576,13,12,7,25,29,69,30,4.996588606128996,5,COMPLETE
678,243933.94111440642,2025-09-03 14:16:36.729841,2025-09-03 14:17:28.412519,0 days 00:00:51.682678,7,12,6,21,29,69,38,4.995851058543122,5,COMPLETE
679,33799.44509881755,2025-09-03 14:16:39.449700,2025-09-03 14:17:33.613927,0 days 00:00:54.164227,28,12,5,22,29,70,39,4.913398111935385,6,COMPLETE
680,248842.1528974183,2025-09-03 14:16:53.224219,2025-09-03 14:17:54.872767,0 days 00:01:01.648548,8,12,5,25,29,70,38,4.927249260677451,6,COMPLETE
681,23055.061455083232,2025-09-03 14:17:01.627056,2025-09-03 14:17:56.115389,0 days 00:00:54.488333,32,12,5,25,29,70,37,4.992564752582965,6,COMPLETE
682,50795.37207514179,2025-09-03 14:17:28.451024,2025-09-03 14:18:23.379928,0 days 00:00:54.928904,8,12,5,25,29,70,37,1.8208832674509652,6,COMPLETE
683,332896.2177684487,2025-09-03 14:17:33.629910,2025-09-03 14:18:26.413863,0 days 00:00:52.783953,8,12,6,25,28,70,34,4.917615635312494,6,COMPLETE
684,237111.33263443803,2025-09-03 14:17:54.946731,2025-09-03 14:18:51.894390,0 days 00:00:56.947659,7,12,6,26,28,67,34,4.998732091484314,7,COMPLETE
685,118204.82926012474,2025-09-03 14:17:56.164079,2025-09-03 14:18:53.889535,0 days 00:00:57.725456,8,12,6,26,28,68,34,1.8170051357552683,5,COMPLETE
686,235033.26686131654,2025-09-03 14:18:23.448866,2025-09-03 14:19:16.291002,0 days 00:00:52.842136,7,12,6,24,28,68,34,3.294456178211383,5,COMPLETE
