number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
46,156.6493253368826,2025-06-30 21:57:43.815177,2025-06-30 22:03:15.055522,0 days 00:05:31.240345,143,19,104,COMPLETE
47,-3214.7954240108656,2025-06-30 21:57:43.847138,2025-06-30 22:04:02.589755,0 days 00:06:18.742617,100,21,141,COMPLETE
48,4082.5704584731416,2025-06-30 21:57:43.855054,2025-06-30 22:04:02.588542,0 days 00:06:18.733488,64,69,110,COMPLETE
49,367.6448603614281,2025-06-30 21:57:43.870288,2025-06-30 22:04:08.961313,0 days 00:06:25.091025,83,77,207,COMPLETE
50,1786.3007279116391,2025-06-30 21:57:43.871672,2025-06-30 22:04:00.160025,0 days 00:06:16.288353,57,20,68,COMPLETE
51,4463.533790554728,2025-06-30 21:57:43.873796,2025-06-30 22:04:14.229772,0 days 00:06:30.355976,192,26,116,COMPLETE
52,5438.484623943806,2025-06-30 21:57:43.878222,2025-06-30 22:04:08.319091,0 days 00:06:24.440869,177,58,153,COMPLETE
53,7310.064749941274,2025-06-30 21:57:43.901460,2025-06-30 22:04:31.746488,0 days 00:06:47.845028,189,27,152,COMPLETE
54,0.0,2025-06-30 21:57:43.932028,2025-06-30 22:00:43.059785,0 days 00:02:59.127757,74,66,33,COMPLETE
55,-5260.537712920745,2025-06-30 21:57:43.966001,2025-06-30 22:04:50.459142,0 days 00:07:06.493141,57,7,109,COMPLETE
56,2916.1289256149676,2025-06-30 21:57:43.987955,2025-06-30 22:05:30.910635,0 days 00:07:46.922680,136,49,215,COMPLETE
57,-1991.5205069717158,2025-06-30 21:57:44.021151,2025-06-30 22:05:10.050616,0 days 00:07:26.029465,45,40,55,COMPLETE
58,-238.619414756914,2025-06-30 21:57:44.158230,2025-06-30 22:05:19.775457,0 days 00:07:35.617227,173,11,75,COMPLETE
59,5118.335836776756,2025-06-30 21:57:44.262306,2025-06-30 22:05:27.182017,0 days 00:07:42.919711,113,76,100,COMPLETE
60,-3315.721231385509,2025-06-30 21:57:44.280785,2025-06-30 22:05:40.309053,0 days 00:07:56.028268,33,10,98,COMPLETE
61,-584.3644878011137,2025-06-30 21:57:44.303513,2025-06-30 22:05:56.941190,0 days 00:08:12.637677,137,67,228,COMPLETE
62,5329.118447785951,2025-06-30 21:57:44.374804,2025-06-30 22:05:43.398268,0 days 00:07:59.023464,185,38,108,COMPLETE
63,-642.267531879188,2025-06-30 21:57:44.416207,2025-06-30 22:06:17.414608,0 days 00:08:32.998401,29,10,205,COMPLETE
