number,value,datetime_start,datetime_complete,duration,params_dema_period,params_tema_fast,params_tema_slow,state
201,10908.644317487378,2025-06-30 21:58:26.442965,2025-06-30 22:41:44.619669,0 days 00:43:18.176704,146,46,125,COMPLETE
202,-923.2597645557298,2025-06-30 21:58:26.601525,2025-06-30 22:42:27.291367,0 days 00:44:00.689842,102,31,202,COMPLETE
203,1083.4079965054643,2025-06-30 21:58:26.800354,2025-06-30 22:41:26.710284,0 days 00:42:59.909930,53,53,75,COMPLETE
204,-1127.2095632968258,2025-06-30 21:58:27.594600,2025-06-30 22:41:26.140938,0 days 00:42:58.546338,180,8,99,COMPLETE
205,5282.402580253976,2025-06-30 21:58:28.460557,2025-06-30 22:42:33.643599,0 days 00:44:05.183042,165,16,215,COMPLETE
206,2006.7364607219215,2025-06-30 21:58:29.239281,2025-06-30 22:40:56.866833,0 days 00:42:27.627552,140,47,248,COMPLETE
207,-924.2366598340095,2025-06-30 21:58:29.573174,2025-06-30 22:41:03.883544,0 days 00:42:34.310370,52,10,243,COMPLETE
208,8104.907024270168,2025-06-30 21:58:30.109498,2025-06-30 22:41:55.615452,0 days 00:43:25.505954,191,41,122,COMPLETE
209,2593.4940934978613,2025-06-30 21:58:30.340808,2025-06-30 22:41:59.065728,0 days 00:43:28.724920,175,12,183,COMPLETE
210,-1302.2369901887396,2025-06-30 21:58:30.506246,2025-06-30 22:42:57.095681,0 days 00:44:26.589435,6,5,222,COMPLETE
211,1849.9114384022896,2025-06-30 21:58:31.046829,2025-06-30 22:41:37.920218,0 days 00:43:06.873389,79,38,139,COMPLETE
212,5161.402622350569,2025-06-30 21:58:31.343274,2025-06-30 22:41:18.242327,0 days 00:42:46.899053,184,70,137,COMPLETE
213,2384.3827677478066,2025-06-30 21:58:31.620165,2025-06-30 22:42:58.547116,0 days 00:44:26.926951,19,53,90,COMPLETE
214,2829.825056908606,2025-06-30 21:58:31.860993,2025-06-30 22:42:47.947006,0 days 00:44:16.086013,130,44,109,COMPLETE
215,-4088.858216976966,2025-06-30 21:58:31.983800,2025-06-30 22:41:42.984035,0 days 00:43:11.000235,110,27,156,COMPLETE
216,-3851.0166002089936,2025-06-30 21:58:32.132389,2025-06-30 22:42:29.214259,0 days 00:43:57.081870,111,26,241,COMPLETE
217,-5188.555454906943,2025-06-30 21:58:33.198947,2025-06-30 22:41:51.140123,0 days 00:43:17.941176,84,10,123,COMPLETE
218,3639.8849328771284,2025-06-30 21:58:33.538935,2025-06-30 22:40:17.875050,0 days 00:41:44.336115,42,65,209,COMPLETE
219,2968.6695787663275,2025-06-30 21:58:33.787626,2025-06-30 22:42:00.085810,0 days 00:43:26.298184,70,55,233,COMPLETE
220,-4449.9327687333935,2025-06-30 21:58:34.153212,2025-06-30 22:42:47.767920,0 days 00:44:13.614708,101,34,36,COMPLETE
221,7654.695223132859,2025-06-30 21:58:34.405944,2025-06-30 22:41:32.477723,0 days 00:42:58.071779,176,57,127,COMPLETE
222,-802.1855125053753,2025-06-30 21:58:34.482439,2025-06-30 22:41:04.925763,0 days 00:42:30.443324,93,44,46,COMPLETE
223,8299.123133590143,2025-06-30 21:58:34.597309,2025-06-30 22:41:38.976654,0 days 00:43:04.379345,174,72,90,COMPLETE
224,472.08008959367635,2025-06-30 21:58:35.391725,2025-06-30 22:40:06.749077,0 days 00:41:31.357352,132,53,158,COMPLETE
225,-6732.4484272290665,2025-06-30 21:58:35.802992,2025-06-30 22:44:05.376418,0 days 00:45:29.573426,106,7,234,COMPLETE
226,-1669.2063251588906,2025-06-30 21:58:35.953967,2025-06-30 22:42:20.251548,0 days 00:43:44.297581,56,23,146,COMPLETE
227,2944.561239763885,2025-06-30 21:58:37.117838,2025-06-30 22:42:33.819966,0 days 00:43:56.702128,52,50,211,COMPLETE
228,1220.391416795606,2025-06-30 21:58:37.301973,2025-06-30 22:41:13.492742,0 days 00:42:36.190769,11,71,203,COMPLETE
229,1343.7442636543328,2025-06-30 21:58:38.601964,2025-06-30 22:42:29.338045,0 days 00:43:50.736081,104,27,100,COMPLETE
230,3639.6010591267705,2025-06-30 21:58:38.885792,2025-06-30 22:41:50.868921,0 days 00:43:11.983129,168,73,169,COMPLETE
231,1482.4640681360165,2025-06-30 21:58:39.135935,2025-06-30 22:42:37.479495,0 days 00:43:58.343560,23,70,196,COMPLETE
232,2972.5099768045493,2025-06-30 21:58:39.204779,2025-06-30 22:41:41.226298,0 days 00:43:02.021519,176,15,241,COMPLETE
233,-450.6104559285877,2025-06-30 21:58:39.322378,2025-06-30 22:43:05.634593,0 days 00:44:26.312215,57,20,160,COMPLETE
234,10219.397487219552,2025-06-30 21:58:39.456400,2025-06-30 22:42:32.569981,0 days 00:43:53.113581,164,55,116,COMPLETE
235,831.0790410116224,2025-06-30 21:58:39.667815,2025-06-30 22:45:42.987444,0 days 00:47:03.319629,87,22,106,COMPLETE
236,-4639.455512201481,2025-06-30 21:58:39.976628,2025-06-30 22:42:48.896142,0 days 00:44:08.919514,96,19,144,COMPLETE
237,1533.0997959060687,2025-06-30 21:58:40.291339,2025-06-30 22:41:46.981632,0 days 00:43:06.690293,132,39,196,COMPLETE
238,2198.297738531868,2025-06-30 21:58:40.754377,2025-06-30 22:42:41.971143,0 days 00:44:01.216766,78,54,90,COMPLETE
239,-1314.465358608938,2025-06-30 21:58:41.552848,2025-06-30 22:43:47.351565,0 days 00:45:05.798717,104,8,98,COMPLETE
240,1136.2792800644866,2025-06-30 21:58:43.072060,2025-06-30 22:42:26.221793,0 days 00:43:43.149733,74,68,164,COMPLETE
241,2541.3066258704594,2025-06-30 21:58:43.312783,2025-06-30 22:42:07.903177,0 days 00:43:24.590394,195,22,226,COMPLETE
242,4125.701298090763,2025-06-30 21:58:44.820288,2025-06-30 22:43:32.730639,0 days 00:44:47.910351,8,38,169,COMPLETE
243,7238.411976806158,2025-06-30 21:58:45.768244,2025-06-30 22:41:38.089428,0 days 00:42:52.321184,147,41,141,COMPLETE
244,7515.551101708583,2025-06-30 21:58:45.999983,2025-06-30 22:43:02.847076,0 days 00:44:16.847093,179,64,111,COMPLETE
245,338.70922201202757,2025-06-30 21:58:46.392225,2025-06-30 22:42:53.178654,0 days 00:44:06.786429,57,40,194,COMPLETE
246,-128.8344271765027,2025-06-30 21:58:47.829517,2025-06-30 22:42:50.765622,0 days 00:44:02.936105,193,9,64,COMPLETE
247,7285.392063669826,2025-06-30 21:58:48.361570,2025-06-30 22:44:38.157007,0 days 00:45:49.795437,187,66,117,COMPLETE
248,608.5659898559479,2025-06-30 21:58:49.072056,2025-06-30 22:41:41.053974,0 days 00:42:51.981918,47,31,50,COMPLETE
249,4113.856536255,2025-06-30 21:58:49.277311,2025-06-30 22:44:04.907913,0 days 00:45:15.630602,69,17,82,COMPLETE
250,8888.201612742658,2025-06-30 21:58:49.611809,2025-06-30 22:43:10.715769,0 days 00:44:21.103960,194,54,71,COMPLETE
251,1144.8673855185534,2025-06-30 21:58:49.846840,2025-06-30 22:41:50.869559,0 days 00:43:01.022719,29,59,231,COMPLETE
252,1152.1859606174366,2025-06-30 21:58:50.063115,2025-06-30 22:43:13.152185,0 days 00:44:23.089070,73,62,224,COMPLETE
253,1465.8295343223726,2025-06-30 21:58:50.989873,2025-06-30 22:42:31.055279,0 days 00:43:40.065406,101,33,124,COMPLETE
254,912.9219307433777,2025-06-30 21:58:51.067090,2025-06-30 22:42:42.699354,0 days 00:43:51.632264,42,13,221,COMPLETE
255,3659.33915639773,2025-06-30 21:58:52.901988,2025-06-30 22:46:09.212386,0 days 00:47:16.310398,130,47,140,COMPLETE
256,1656.4691958022122,2025-06-30 21:58:53.582373,2025-06-30 22:43:42.588633,0 days 00:44:49.006260,148,23,110,COMPLETE
257,2739.944554633191,2025-06-30 21:58:54.135312,2025-06-30 22:40:59.885736,0 days 00:42:05.750424,163,5,174,COMPLETE
258,-3257.9862029290325,2025-06-30 21:58:55.213725,2025-06-30 22:43:05.412200,0 days 00:44:10.198475,36,13,52,COMPLETE
259,3230.2155584043894,2025-06-30 21:58:56.009539,2025-06-30 22:42:52.500532,0 days 00:43:56.490993,136,39,156,COMPLETE
260,3815.6600793073058,2025-06-30 21:58:56.493201,2025-06-30 22:43:08.072309,0 days 00:44:11.579108,140,50,152,COMPLETE
261,5586.851674753487,2025-06-30 21:58:56.848879,2025-06-30 22:41:51.844872,0 days 00:42:54.995993,190,80,161,COMPLETE
262,1765.364976755688,2025-06-30 21:58:57.246931,2025-06-30 22:43:13.741644,0 days 00:44:16.494713,184,19,100,COMPLETE
263,269.2769940806529,2025-06-30 21:58:57.718964,2025-06-30 22:43:55.971725,0 days 00:44:58.252761,112,37,192,COMPLETE
264,4149.823802649729,2025-06-30 21:58:58.151908,2025-06-30 22:43:31.134596,0 days 00:44:32.982688,42,65,207,COMPLETE
265,-541.216361349917,2025-06-30 21:58:58.809792,2025-06-30 22:43:44.960284,0 days 00:44:46.150492,136,7,86,COMPLETE
266,6123.0488554074445,2025-06-30 21:58:59.645042,2025-06-30 22:42:50.297874,0 days 00:43:50.652832,169,45,214,COMPLETE
267,-808.0429236053415,2025-06-30 21:58:59.960329,2025-06-30 22:42:34.481953,0 days 00:43:34.521624,89,42,175,COMPLETE
268,10402.231330831382,2025-06-30 21:59:00.395273,2025-06-30 22:42:44.699822,0 days 00:43:44.304549,188,57,101,COMPLETE
269,-832.2774381434774,2025-06-30 21:59:01.172159,2025-06-30 22:42:24.258817,0 days 00:43:23.086658,69,42,85,COMPLETE
270,-1115.9437120880957,2025-06-30 21:59:01.544598,2025-06-30 22:45:46.437600,0 days 00:46:44.893002,93,6,81,COMPLETE
271,-1856.8772359675759,2025-06-30 21:59:01.615453,2025-06-30 22:42:59.718473,0 days 00:43:58.103020,97,14,150,COMPLETE
272,1494.8718079841583,2025-06-30 21:59:02.500632,2025-06-30 22:44:44.484989,0 days 00:45:41.984357,104,69,129,COMPLETE
273,7347.0080648282765,2025-06-30 21:59:03.175077,2025-06-30 22:44:03.240413,0 days 00:45:00.065336,178,21,69,COMPLETE
274,2017.7722644320802,2025-06-30 21:59:03.463881,2025-06-30 22:42:32.325207,0 days 00:43:28.861326,54,58,169,COMPLETE
275,4080.8593394763784,2025-06-30 21:59:04.053121,2025-06-30 22:42:52.242208,0 days 00:43:48.189087,42,63,244,COMPLETE
276,-2899.977820874904,2025-06-30 21:59:04.688573,2025-06-30 22:44:06.601002,0 days 00:45:01.912429,152,10,61,COMPLETE
277,3468.1395466951053,2025-06-30 21:59:04.857144,2025-06-30 22:44:01.280665,0 days 00:44:56.423521,29,43,147,COMPLETE
278,-2713.2334526702234,2025-06-30 21:59:05.420987,2025-06-30 22:42:34.699077,0 days 00:43:29.278090,124,15,115,COMPLETE
279,0.0,2025-06-30 21:59:05.657464,2025-06-30 22:11:41.898426,0 days 00:12:36.240962,97,77,58,COMPLETE
280,-1846.40703441394,2025-06-30 21:59:07.049849,2025-06-30 22:44:09.303720,0 days 00:45:02.253871,61,24,178,COMPLETE
281,703.3841357359966,2025-06-30 21:59:08.021346,2025-06-30 22:44:24.737700,0 days 00:45:16.716354,148,5,160,COMPLETE
282,0.0,2025-06-30 21:59:09.382993,2025-06-30 22:11:46.862171,0 days 00:12:37.479178,100,36,36,COMPLETE
283,-640.5039762973611,2025-06-30 21:59:10.008174,2025-06-30 22:43:38.507941,0 days 00:44:28.499767,91,14,249,COMPLETE
284,-14122.514742240506,2025-06-30 21:59:10.657819,2025-06-30 22:44:16.260256,0 days 00:45:05.602437,116,8,58,COMPLETE
285,8971.446908857855,2025-06-30 21:59:10.948836,2025-06-30 22:43:43.844764,0 days 00:44:32.895928,137,74,85,COMPLETE
286,-1328.08518147195,2025-06-30 21:59:11.081601,2025-06-30 22:44:55.109623,0 days 00:45:44.028022,27,48,51,COMPLETE
287,-1435.755267940087,2025-06-30 21:59:12.894408,2025-06-30 22:46:03.488401,0 days 00:46:50.593993,32,8,185,COMPLETE
288,-5711.705748157632,2025-06-30 21:59:13.419732,2025-06-30 22:43:39.611961,0 days 00:44:26.192229,171,58,230,COMPLETE
289,1829.8427707307428,2025-06-30 21:59:13.624382,2025-06-30 22:46:52.671772,0 days 00:47:39.047390,20,45,94,COMPLETE
290,3483.304419914831,2025-06-30 21:59:14.483399,2025-06-30 22:43:16.236223,0 days 00:44:01.752824,56,64,249,COMPLETE
291,164.90691833883375,2025-06-30 21:59:15.282522,2025-06-30 22:45:39.907661,0 days 00:46:24.625139,10,54,243,COMPLETE
292,10629.296916919538,2025-06-30 21:59:15.444054,2025-06-30 22:44:11.689583,0 days 00:44:56.245529,154,56,106,COMPLETE
293,711.1792828900634,2025-06-30 21:59:15.571712,2025-06-30 22:46:26.533150,0 days 00:47:10.961438,196,8,236,COMPLETE
294,3996.2823165541577,2025-06-30 21:59:15.719995,2025-06-30 22:43:04.480131,0 days 00:43:48.760136,132,14,186,COMPLETE
295,-2435.8703754485214,2025-06-30 21:59:16.439354,2025-06-30 22:45:28.875297,0 days 00:46:12.435943,114,19,218,COMPLETE
296,-6293.4752633653625,2025-06-30 21:59:16.556363,2025-06-30 22:44:45.367199,0 days 00:45:28.810836,118,6,242,COMPLETE
297,2514.3090825737745,2025-06-30 21:59:16.856451,2025-06-30 22:44:47.119133,0 days 00:45:30.262682,46,62,98,COMPLETE
298,6687.870292848883,2025-06-30 21:59:17.076938,2025-06-30 22:44:12.871222,0 days 00:44:55.794284,162,31,231,COMPLETE
299,-193.98856126814826,2025-06-30 21:59:18.228011,2025-06-30 22:45:08.675242,0 days 00:45:50.447231,177,15,63,COMPLETE
300,1680.6211423598243,2025-06-30 21:59:19.383497,2025-06-30 22:48:25.741175,0 days 00:49:06.357678,172,21,133,COMPLETE
301,790.0803709941456,2025-06-30 21:59:19.683133,2025-06-30 22:45:56.904452,0 days 00:46:37.221319,34,38,232,COMPLETE
302,-1230.5632304308856,2025-06-30 21:59:20.433876,2025-06-30 22:46:07.940965,0 days 00:46:47.507089,75,12,92,COMPLETE
303,2102.176294054766,2025-06-30 21:59:20.693184,2025-06-30 22:46:15.599302,0 days 00:46:54.906118,67,31,56,COMPLETE
304,0.0,2025-06-30 21:59:20.811496,2025-06-30 22:12:13.840731,0 days 00:12:53.029235,142,66,43,COMPLETE
305,0.0,2025-06-30 21:59:21.133112,2025-06-30 22:12:22.454604,0 days 00:13:01.321492,189,70,62,COMPLETE
306,-4532.622946012716,2025-06-30 21:59:21.547734,2025-06-30 22:45:43.354932,0 days 00:46:21.807198,83,25,169,COMPLETE
307,3641.7143912969277,2025-06-30 21:59:22.884298,2025-06-30 22:46:22.116832,0 days 00:46:59.232534,148,50,68,COMPLETE
308,-4671.536905982911,2025-06-30 21:59:23.079533,2025-06-30 22:44:06.366169,0 days 00:44:43.286636,87,8,156,COMPLETE
309,-4735.522561539091,2025-06-30 21:59:23.282345,2025-06-30 22:44:08.056783,0 days 00:44:44.774438,110,5,140,COMPLETE
310,-5126.97641983473,2025-06-30 21:59:23.763025,2025-06-30 22:45:59.213297,0 days 00:46:35.450272,65,13,70,COMPLETE
311,-8930.145575479844,2025-06-30 21:59:24.388213,2025-06-30 22:45:27.806371,0 days 00:46:03.418158,115,10,233,COMPLETE
312,-856.1176782313842,2025-06-30 21:59:27.047507,2025-06-30 22:43:49.792498,0 days 00:44:22.744991,166,60,238,COMPLETE
313,-2671.368178881491,2025-06-30 21:59:27.502531,2025-06-30 22:44:40.656358,0 days 00:45:13.153827,108,12,215,COMPLETE
314,185.62222356520124,2025-06-30 21:59:27.702038,2025-06-30 22:45:28.374563,0 days 00:46:00.672525,135,75,237,COMPLETE
315,-2434.300788073381,2025-06-30 21:59:27.889645,2025-06-30 22:47:52.936529,0 days 00:48:25.046884,23,11,123,COMPLETE
316,3928.4270771585816,2025-06-30 21:59:29.125748,2025-06-30 22:47:34.387565,0 days 00:48:05.261817,96,63,101,COMPLETE
317,3553.932130331308,2025-06-30 21:59:29.597164,2025-06-30 22:45:30.125252,0 days 00:46:00.528088,154,30,126,COMPLETE
318,0.0,2025-06-30 21:59:30.006850,2025-06-30 22:12:32.510953,0 days 00:13:02.504103,154,58,34,COMPLETE
319,-4131.948936251233,2025-06-30 21:59:30.293546,2025-06-30 22:45:39.622397,0 days 00:46:09.328851,69,5,141,COMPLETE
320,6517.143058673088,2025-06-30 21:59:32.095825,2025-06-30 22:44:00.984866,0 days 00:44:28.889041,177,64,156,COMPLETE
321,5259.542369001701,2025-06-30 21:59:32.740974,2025-06-30 22:45:11.503753,0 days 00:45:38.762779,200,75,184,COMPLETE
322,5972.2353124892625,2025-06-30 21:59:33.176435,2025-06-30 22:43:52.740325,0 days 00:44:19.563890,193,66,145,COMPLETE
323,3810.067603188367,2025-06-30 21:59:33.399419,2025-06-30 22:45:53.179578,0 days 00:46:19.780159,186,15,237,COMPLETE
324,5910.304250779166,2025-06-30 21:59:34.058306,2025-06-30 22:46:52.213010,0 days 00:47:18.154704,133,19,93,COMPLETE
325,1468.7725484913763,2025-06-30 21:59:35.273621,2025-06-30 22:46:37.443827,0 days 00:47:02.170206,31,48,161,COMPLETE
326,741.5336879829892,2025-06-30 21:59:36.025615,2025-06-30 22:44:23.237747,0 days 00:44:47.212132,20,42,74,COMPLETE
327,-1446.1512554600413,2025-06-30 21:59:36.369257,2025-06-30 22:45:00.337951,0 days 00:45:23.968694,27,26,45,COMPLETE
328,1758.4486655647388,2025-06-30 21:59:36.544253,2025-06-30 22:46:39.778007,0 days 00:47:03.233754,98,46,54,COMPLETE
329,5051.606034673381,2025-06-30 21:59:36.727678,2025-06-30 22:46:39.381265,0 days 00:47:02.653587,130,34,158,COMPLETE
330,6236.235157455364,2025-06-30 21:59:38.475793,2025-06-30 22:44:39.113252,0 days 00:45:00.637459,118,23,55,COMPLETE
331,0.0,2025-06-30 21:59:38.722724,2025-06-30 22:12:51.681166,0 days 00:13:12.958442,101,77,77,COMPLETE
332,1358.2344352896262,2025-06-30 21:59:39.204231,2025-06-30 22:47:36.456444,0 days 00:47:57.252213,18,75,129,COMPLETE
333,6688.891154362177,2025-06-30 21:59:40.276355,2025-06-30 22:44:43.365734,0 days 00:45:03.089379,174,70,144,COMPLETE
334,-2119.749961910279,2025-06-30 21:59:40.510066,2025-06-30 22:47:05.406685,0 days 00:47:24.896619,152,29,206,COMPLETE
335,0.0,2025-06-30 21:59:41.098822,2025-06-30 22:12:59.146199,0 days 00:13:18.047377,62,55,32,COMPLETE
336,2726.4084074170414,2025-06-30 21:59:41.980677,2025-06-30 22:43:44.990995,0 days 00:44:03.010318,126,44,83,COMPLETE
337,891.8332649218501,2025-06-30 21:59:42.758175,2025-06-30 22:46:53.058920,0 days 00:47:10.300745,21,32,86,COMPLETE
338,2153.8141131119783,2025-06-30 21:59:43.025212,2025-06-30 22:44:49.449626,0 days 00:45:06.424414,101,40,51,COMPLETE
339,0.0,2025-06-30 21:59:43.271730,2025-06-30 22:13:07.844510,0 days 00:13:24.572780,170,80,65,COMPLETE
340,-576.6740290774578,2025-06-30 21:59:43.779793,2025-06-30 22:45:32.760271,0 days 00:45:48.980478,94,17,73,COMPLETE
341,2782.453575563556,2025-06-30 21:59:44.409914,2025-06-30 22:45:45.542030,0 days 00:46:01.132116,103,47,229,COMPLETE
342,3455.603639619167,2025-06-30 21:59:45.004962,2025-06-30 22:45:47.871981,0 days 00:46:02.867019,64,77,92,COMPLETE
343,4711.696670636341,2025-06-30 21:59:45.086241,2025-06-30 22:48:18.093751,0 days 00:48:33.007510,156,37,59,COMPLETE
344,-2751.298231627874,2025-06-30 21:59:45.244307,2025-06-30 22:48:16.041799,0 days 00:48:30.797492,84,26,156,COMPLETE
345,742.9577003334061,2025-06-30 21:59:45.634043,2025-06-30 22:46:59.219018,0 days 00:47:13.584975,200,20,87,COMPLETE
346,942.7960951699224,2025-06-30 21:59:46.448070,2025-06-30 22:45:43.155235,0 days 00:45:56.707165,26,59,228,COMPLETE
347,10240.129445831284,2025-06-30 21:59:46.936675,2025-06-30 22:45:38.823156,0 days 00:45:51.886481,190,70,99,COMPLETE
348,-1766.9575610065185,2025-06-30 21:59:47.088146,2025-06-30 22:46:49.910151,0 days 00:47:02.822005,39,7,246,COMPLETE
349,114.96838303651839,2025-06-30 21:59:47.555337,2025-06-30 22:48:37.357482,0 days 00:48:49.802145,45,13,210,COMPLETE
350,3611.726049287283,2025-06-30 21:59:47.999328,2025-06-30 22:47:59.369748,0 days 00:48:11.370420,189,16,95,COMPLETE
351,2705.4732000865715,2025-06-30 21:59:48.359616,2025-06-30 22:45:19.410591,0 days 00:45:31.050975,98,78,91,COMPLETE
352,-3633.5178297836264,2025-06-30 21:59:48.949954,2025-06-30 22:47:18.644605,0 days 00:47:29.694651,101,6,45,COMPLETE
353,2809.473810900711,2025-06-30 21:59:49.350766,2025-06-30 22:46:18.508985,0 days 00:46:29.158219,53,69,101,COMPLETE
354,2230.030113759178,2025-06-30 21:59:49.712276,2025-06-30 22:45:25.687110,0 days 00:45:35.974834,17,39,168,COMPLETE
355,2613.0511011895105,2025-06-30 21:59:50.110426,2025-06-30 22:46:11.677971,0 days 00:46:21.567545,46,45,246,COMPLETE
356,1733.322973365397,2025-06-30 21:59:50.324118,2025-06-30 22:46:50.384592,0 days 00:47:00.060474,68,28,191,COMPLETE
357,3146.7003306617103,2025-06-30 21:59:50.497681,2025-06-30 22:46:02.150795,0 days 00:46:11.653114,71,66,71,COMPLETE
358,5461.745704345176,2025-06-30 21:59:52.812579,2025-06-30 22:45:57.635846,0 days 00:46:04.823267,160,27,80,COMPLETE
359,3573.01394277682,2025-06-30 21:59:53.209675,2025-06-30 22:46:11.442321,0 days 00:46:18.232646,105,78,80,COMPLETE
360,-2939.621751552516,2025-06-30 21:59:53.593607,2025-06-30 22:46:02.314008,0 days 00:46:08.720401,105,15,208,COMPLETE
361,1398.2499744049255,2025-06-30 21:59:54.768074,2025-06-30 22:49:13.349178,0 days 00:49:18.581104,69,32,57,COMPLETE
362,9082.249975000555,2025-06-30 21:59:55.384108,2025-06-30 22:44:56.865171,0 days 00:45:01.481063,146,40,128,COMPLETE
363,4521.83726486298,2025-06-30 21:59:56.098793,2025-06-30 22:46:24.949291,0 days 00:46:28.850498,150,35,61,COMPLETE
364,192.18670865201238,2025-06-30 21:59:56.796896,2025-06-30 22:46:52.494112,0 days 00:46:55.697216,67,33,131,COMPLETE
365,2686.7781149490766,2025-06-30 21:59:56.980065,2025-06-30 22:45:37.196309,0 days 00:45:40.216244,34,71,144,COMPLETE
366,825.3801962699481,2025-06-30 22:00:00.100111,2025-06-30 22:49:24.053050,0 days 00:49:23.952939,70,51,225,COMPLETE
367,2054.726894617271,2025-06-30 22:00:00.572435,2025-06-30 22:46:13.043277,0 days 00:46:12.470842,138,9,185,COMPLETE
368,1139.997562814985,2025-06-30 22:00:00.895826,2025-06-30 22:46:34.263682,0 days 00:46:33.367856,84,61,189,COMPLETE
369,5484.060196232125,2025-06-30 22:00:01.037335,2025-06-30 22:45:43.058826,0 days 00:45:42.021491,189,35,226,COMPLETE
370,627.7481949635339,2025-06-30 22:00:01.434336,2025-06-30 22:45:11.616137,0 days 00:45:10.181801,25,62,226,COMPLETE
371,7733.0953960646475,2025-06-30 22:00:02.277171,2025-06-30 22:07:36.784892,0 days 00:07:34.507721,197,38,124,COMPLETE
372,7854.3186379196095,2025-06-30 22:00:02.765556,2025-06-30 22:06:50.418567,0 days 00:06:47.653011,200,35,127,COMPLETE
373,8182.899693239378,2025-06-30 22:00:03.195479,2025-06-30 22:09:27.979937,0 days 00:09:24.784458,195,36,123,COMPLETE
374,8249.894254132587,2025-06-30 22:00:03.307332,2025-06-30 22:17:59.125294,0 days 00:17:55.817962,193,36,123,COMPLETE
375,7491.187238967653,2025-06-30 22:00:03.394372,2025-06-30 22:08:51.087606,0 days 00:08:47.693234,197,36,121,COMPLETE
376,6622.0125362834,2025-06-30 22:00:03.873852,2025-06-30 22:09:37.126285,0 days 00:09:33.252433,198,38,121,COMPLETE
377,6739.183832281877,2025-06-30 22:00:04.633821,2025-06-30 22:09:36.087227,0 days 00:09:31.453406,190,37,118,COMPLETE
378,7780.723986469531,2025-06-30 22:00:05.061111,2025-06-30 22:09:58.429553,0 days 00:09:53.368442,196,35,122,COMPLETE
379,6716.986482907653,2025-06-30 22:00:05.097031,2025-06-30 22:28:31.831880,0 days 00:28:26.734849,184,37,121,COMPLETE
380,5565.366078811955,2025-06-30 22:00:05.207441,2025-06-30 22:22:20.522183,0 days 00:22:15.314742,198,32,119,COMPLETE
381,7819.265249019445,2025-06-30 22:00:05.587078,2025-06-30 22:12:24.966164,0 days 00:12:19.379086,199,35,127,COMPLETE
382,9392.648256174001,2025-06-30 22:00:05.989976,2025-06-30 22:24:55.259300,0 days 00:24:49.269324,193,38,129,COMPLETE
383,11649.43768033487,2025-06-30 22:00:06.522001,2025-06-30 22:12:57.677377,0 days 00:12:51.155376,196,47,121,COMPLETE
384,12780.224031920628,2025-06-30 22:00:07.084924,2025-06-30 22:08:37.328644,0 days 00:08:30.243720,196,45,124,COMPLETE
385,15144.867669022238,2025-06-30 22:00:07.972903,2025-06-30 22:07:54.050545,0 days 00:07:46.077642,188,47,125,COMPLETE
386,13151.196985842073,2025-06-30 22:00:08.125832,2025-06-30 22:31:33.129841,0 days 00:31:25.004009,199,50,124,COMPLETE
387,13296.696899959925,2025-06-30 22:00:08.350281,2025-06-30 22:15:27.792353,0 days 00:15:19.442072,194,46,125,COMPLETE
388,5048.900342697906,2025-06-30 22:00:08.958607,2025-06-30 22:09:15.908814,0 days 00:09:06.950207,188,41,107,COMPLETE
389,4374.981218537995,2025-06-30 22:00:09.144100,2025-06-30 22:13:50.031765,0 days 00:13:40.887665,197,36,110,COMPLETE
390,5384.791459716979,2025-06-30 22:00:09.529905,2025-06-30 22:39:08.105252,0 days 00:38:58.575347,186,38,111,COMPLETE
391,4609.598365430768,2025-06-30 22:00:10.012267,2025-06-30 22:15:45.083851,0 days 00:15:35.071584,181,37,108,COMPLETE
392,5388.55181748765,2025-06-30 22:00:10.363813,2025-06-30 22:08:53.290238,0 days 00:08:42.926425,195,38,109,COMPLETE
393,6402.486743241634,2025-06-30 22:00:10.489662,2025-06-30 22:18:42.508280,0 days 00:18:32.018618,200,38,100,COMPLETE
394,6145.929036121861,2025-06-30 22:00:10.848267,2025-06-30 22:51:16.451734,0 days 00:51:05.603467,194,39,107,COMPLETE
395,3533.9419655806187,2025-06-30 22:00:11.289080,2025-06-30 22:23:25.902078,0 days 00:23:14.612998,187,31,116,COMPLETE
396,5723.334236619329,2025-06-30 22:00:11.311668,2025-06-30 22:10:33.172432,0 days 00:10:21.860764,200,37,109,COMPLETE
397,5753.90153420974,2025-06-30 22:00:11.414188,2025-06-30 22:25:22.299671,0 days 00:25:10.885483,196,40,113,COMPLETE
398,9058.053122518853,2025-06-30 22:00:12.800097,2025-06-30 22:26:38.417254,0 days 00:26:25.617157,191,54,105,COMPLETE
399,11516.951383132997,2025-06-30 22:00:12.928209,2025-06-30 22:25:58.412304,0 days 00:25:45.484095,185,55,106,COMPLETE
400,7127.799703043548,2025-06-30 22:00:13.119692,2025-06-30 22:26:06.632234,0 days 00:25:53.512542,189,51,104,COMPLETE
401,7086.328791443088,2025-06-30 22:00:13.560581,2025-06-30 22:28:17.242816,0 days 00:28:03.682235,185,52,105,COMPLETE
402,12427.400700639704,2025-06-30 22:00:13.642192,2025-06-30 22:12:15.806021,0 days 00:12:02.163829,183,52,111,COMPLETE
403,7411.559568562936,2025-06-30 22:00:14.446329,2025-06-30 22:29:01.161224,0 days 00:28:46.714895,186,48,109,COMPLETE
404,8647.963344974287,2025-06-30 22:00:14.637385,2025-06-30 22:12:38.276673,0 days 00:12:23.639288,189,52,107,COMPLETE
