number,value,datetime_start,datetime_complete,duration,params_fast,params_macd_fast,params_macd_signal,params_macd_slow,params_rsi_period,params_rsi_threshold,params_slow,params_trend_sma_period,params_volume_ma_period,state
657,1207.4501558101906,2025-08-06 14:04:25.860803,2025-08-06 14:05:24.328862,0 days 00:00:58.468059,8,6,11,18,29,53,140,15,33,COMPLETE
658,79514.28369099765,2025-08-06 14:04:29.547324,2025-08-06 14:05:28.039146,0 days 00:00:58.491822,8,5,11,24,30,68,138,16,33,COMPLETE
659,96575.0583301458,2025-08-06 14:05:10.457196,2025-08-06 14:06:07.709836,0 days 00:00:57.252640,7,6,11,17,30,69,143,16,33,COMPLETE
660,75271.48114003422,2025-08-06 14:05:14.878356,2025-08-06 14:06:10.932321,0 days 00:00:56.053965,5,6,11,16,30,69,141,20,33,COMPLETE
661,7456.0934772530145,2025-08-06 14:05:24.359870,2025-08-06 14:06:26.214235,0 days 00:01:01.854365,5,6,11,17,30,69,129,168,32,COMPLETE
662,41045.52660740084,2025-08-06 14:05:28.087106,2025-08-06 14:06:29.272135,0 days 00:01:01.185029,5,6,7,17,30,69,129,29,34,COMPLETE
663,93183.0573210176,2025-08-06 14:06:07.727104,2025-08-06 14:07:03.926451,0 days 00:00:56.199347,5,6,11,22,29,70,128,24,32,COMPLETE
664,44745.95480416902,2025-08-06 14:06:10.991033,2025-08-06 14:07:08.121301,0 days 00:00:57.130268,5,6,15,17,29,70,129,29,34,COMPLETE
665,17562.172369918055,2025-08-06 14:06:26.258255,2025-08-06 14:07:26.401175,0 days 00:01:00.142920,10,8,11,20,29,70,133,29,34,COMPLETE
666,22447.62799499904,2025-08-06 14:06:29.278691,2025-08-06 14:07:28.437283,0 days 00:00:59.158592,10,6,15,32,29,70,133,21,31,COMPLETE
667,34027.00379410036,2025-08-06 14:07:03.981061,2025-08-06 14:08:02.078866,0 days 00:00:58.097805,10,6,15,16,29,70,133,10,31,COMPLETE
668,154217.82751154323,2025-08-06 14:07:08.156437,2025-08-06 14:08:07.039272,0 days 00:00:58.882835,7,6,11,20,29,68,134,20,28,COMPLETE
669,127666.68358661544,2025-08-06 14:07:26.464924,2025-08-06 14:08:24.319175,0 days 00:00:57.854251,7,6,11,16,29,68,134,22,28,COMPLETE
670,612018.5705281985,2025-08-06 14:07:28.438512,2025-08-06 14:08:27.292432,0 days 00:00:58.853920,7,8,11,16,30,68,125,10,28,COMPLETE
671,268186.0091035195,2025-08-06 14:08:02.106106,2025-08-06 14:08:57.218290,0 days 00:00:55.112184,7,5,11,20,30,68,125,15,28,COMPLETE
672,332489.9710132626,2025-08-06 14:08:07.045975,2025-08-06 14:09:02.672758,0 days 00:00:55.626783,7,5,11,18,30,68,127,15,29,COMPLETE
673,313016.2396652347,2025-08-06 14:08:24.355317,2025-08-06 14:09:24.034563,0 days 00:00:59.679246,7,8,12,18,30,68,126,15,29,COMPLETE
674,119080.26418918921,2025-08-06 14:08:27.309401,2025-08-06 14:09:28.709414,0 days 00:01:01.400013,9,8,10,41,30,69,117,15,29,COMPLETE
675,124499.8393854925,2025-08-06 14:08:57.245105,2025-08-06 14:09:57.556430,0 days 00:01:00.311325,9,8,10,15,30,69,116,15,29,COMPLETE
676,230495.93108055607,2025-08-06 14:09:02.717505,2025-08-06 14:10:04.079433,0 days 00:01:01.361928,9,8,10,41,30,69,118,10,29,COMPLETE
677,213399.1033992501,2025-08-06 14:09:24.083262,2025-08-06 14:10:23.863628,0 days 00:00:59.780366,9,8,10,15,30,69,115,10,28,COMPLETE
678,137615.19559561877,2025-08-06 14:09:28.752889,2025-08-06 14:10:28.129229,0 days 00:00:59.376340,9,8,5,41,30,69,109,10,28,COMPLETE
679,14767.238043546713,2025-08-06 14:09:57.585688,2025-08-06 14:10:53.929182,0 days 00:00:56.343494,9,8,5,40,13,70,111,10,26,COMPLETE
680,33666.763859207436,2025-08-06 14:10:04.098228,2025-08-06 14:11:01.086651,0 days 00:00:56.988423,11,8,16,16,30,70,110,20,28,COMPLETE
681,8516.4021995642,2025-08-06 14:10:23.920608,2025-08-06 14:11:21.470010,0 days 00:00:57.549402,7,8,5,40,13,70,122,20,26,COMPLETE
682,82666.82277110471,2025-08-06 14:10:28.141066,2025-08-06 14:11:24.735615,0 days 00:00:56.594549,7,8,7,16,30,70,121,21,27,COMPLETE
683,67068.9115283722,2025-08-06 14:10:54.015618,2025-08-06 14:11:48.344949,0 days 00:00:54.329331,7,8,16,15,30,67,123,20,27,COMPLETE
684,-91.72070878504147,2025-08-06 14:11:01.114445,2025-08-06 14:11:55.337342,0 days 00:00:54.222897,7,7,12,16,29,49,121,23,30,COMPLETE
685,68012.1569238831,2025-08-06 14:11:21.497582,2025-08-06 14:12:18.205142,0 days 00:00:56.707560,6,7,8,23,29,67,124,120,30,COMPLETE
686,-inf,2025-08-06 14:11:24.780852,2025-08-06 14:11:30.325360,0 days 00:00:05.544508,6,17,12,15,29,67,125,24,31,COMPLETE
687,4024.6685065651227,2025-08-06 14:11:30.352824,2025-08-06 14:12:30.744490,0 days 00:01:00.391666,6,7,12,42,7,67,125,16,30,COMPLETE
688,3125.339833040435,2025-08-06 14:11:48.399272,2025-08-06 14:12:45.802990,0 days 00:00:57.403718,57,7,12,21,27,69,119,16,30,COMPLETE
689,27937.331687512684,2025-08-06 14:11:55.344040,2025-08-06 14:12:54.493911,0 days 00:00:59.149871,5,7,12,42,27,68,126,154,30,COMPLETE
690,-inf,2025-08-06 14:12:18.228660,2025-08-06 14:13:18.257641,0 days 00:01:00.028981,25,7,12,42,27,51,105,35,29,COMPLETE
691,283820.6481895139,2025-08-06 14:12:30.766939,2025-08-06 14:13:29.380126,0 days 00:00:58.613187,5,7,11,41,27,69,118,15,24,COMPLETE
692,233523.17062080465,2025-08-06 14:12:45.944456,2025-08-06 14:13:43.433168,0 days 00:00:57.488712,5,8,11,41,28,66,129,10,28,COMPLETE
693,195876.46465166277,2025-08-06 14:12:54.500415,2025-08-06 14:13:54.185452,0 days 00:00:59.685037,5,8,11,22,28,66,102,34,24,COMPLETE
694,9008.582911339394,2025-08-06 14:13:18.290362,2025-08-06 14:14:10.924286,0 days 00:00:52.633924,11,8,11,40,28,64,129,10,9,COMPLETE
695,32190.593559184537,2025-08-06 14:13:29.407219,2025-08-06 14:14:23.612573,0 days 00:00:54.205354,11,15,9,40,28,66,130,10,26,COMPLETE
696,29326.686312678674,2025-08-06 14:13:43.509060,2025-08-06 14:14:40.180605,0 days 00:00:56.671545,8,8,13,40,30,70,130,25,27,COMPLETE
697,31462.226520537904,2025-08-06 14:13:54.213736,2025-08-06 14:14:52.987122,0 days 00:00:58.773386,8,8,13,40,29,68,129,25,26,COMPLETE
698,37860.681088452395,2025-08-06 14:14:10.999045,2025-08-06 14:15:08.380577,0 days 00:00:57.381532,8,14,13,40,29,68,115,27,26,COMPLETE
699,52440.16142197291,2025-08-06 14:14:23.650888,2025-08-06 14:15:19.351994,0 days 00:00:55.701106,8,8,13,39,30,68,114,25,31,COMPLETE
700,7189.488300432836,2025-08-06 14:14:40.202658,2025-08-06 14:15:39.984392,0 days 00:00:59.781734,8,7,12,39,29,69,114,142,31,COMPLETE
701,287370.26913657633,2025-08-06 14:14:53.055195,2025-08-06 14:15:51.316839,0 days 00:00:58.261644,7,7,12,39,29,69,115,16,32,COMPLETE
702,166080.23011036534,2025-08-06 14:15:08.434840,2025-08-06 14:16:04.372174,0 days 00:00:55.937334,7,7,12,39,30,69,120,16,31,COMPLETE
703,15343.708734385978,2025-08-06 14:15:19.369664,2025-08-06 14:16:15.890218,0 days 00:00:56.520554,18,7,15,17,29,69,120,16,28,COMPLETE
704,193644.29037223654,2025-08-06 14:15:40.012033,2025-08-06 14:16:34.497731,0 days 00:00:54.485698,6,7,15,17,30,70,120,16,28,COMPLETE
705,22517.051226015898,2025-08-06 14:15:51.338919,2025-08-06 14:16:48.929277,0 days 00:00:57.590358,6,9,11,43,30,70,120,276,12,COMPLETE
706,352846.05845601304,2025-08-06 14:16:04.383792,2025-08-06 14:17:01.659983,0 days 00:00:57.276191,6,9,15,17,30,70,125,19,29,COMPLETE
707,333630.55894830293,2025-08-06 14:16:15.896920,2025-08-06 14:17:18.766333,0 days 00:01:02.869413,6,9,11,43,30,70,125,19,29,COMPLETE
708,204439.65852609093,2025-08-06 14:16:34.560451,2025-08-06 14:17:33.775863,0 days 00:00:59.215412,5,9,11,26,30,70,125,19,29,COMPLETE
709,177424.85864114514,2025-08-06 14:16:48.951749,2025-08-06 14:17:46.243733,0 days 00:00:57.291984,5,8,11,34,29,68,126,19,29,COMPLETE
710,8706.177759069169,2025-08-06 14:17:01.707713,2025-08-06 14:18:09.310291,0 days 00:01:07.602578,5,8,11,21,15,68,126,207,25,COMPLETE
711,48531.514164364446,2025-08-06 14:17:18.786506,2025-08-06 14:18:17.688222,0 days 00:00:58.901716,5,8,11,21,29,67,126,73,35,COMPLETE
712,8658.831940308848,2025-08-06 14:17:33.862985,2025-08-06 14:18:35.261864,0 days 00:01:01.398879,10,8,14,19,22,67,131,10,27,COMPLETE
713,54964.87015295326,2025-08-06 14:17:46.255899,2025-08-06 14:18:45.619106,0 days 00:00:59.363207,10,8,12,21,29,67,137,10,27,COMPLETE
714,43826.45548943748,2025-08-06 14:18:09.332578,2025-08-06 14:19:05.363916,0 days 00:00:56.031338,10,7,14,41,28,67,136,10,27,COMPLETE
715,39943.11500138629,2025-08-06 14:18:17.694931,2025-08-06 14:19:12.818523,0 days 00:00:55.123592,10,7,14,19,28,65,137,10,32,COMPLETE
716,39251.33784669095,2025-08-06 14:18:35.278941,2025-08-06 14:19:32.430696,0 days 00:00:57.151755,9,7,12,42,28,65,137,10,32,COMPLETE
717,-inf,2025-08-06 14:18:45.625717,2025-08-06 14:19:43.728627,0 days 00:00:58.102910,7,7,12,41,28,47,133,10,32,COMPLETE
718,67458.42729836226,2025-08-06 14:19:05.454188,2025-08-06 14:20:03.483340,0 days 00:00:58.029152,7,7,12,35,28,65,131,16,32,COMPLETE
719,8946.632797402766,2025-08-06 14:19:12.819909,2025-08-06 14:20:07.906879,0 days 00:00:55.086970,7,7,12,41,29,69,131,108,36,COMPLETE
720,125177.98863583313,2025-08-06 14:19:32.463945,2025-08-06 14:20:27.355559,0 days 00:00:54.891614,7,7,16,16,29,69,131,19,36,COMPLETE
721,194403.5143942515,2025-08-06 14:19:43.736026,2025-08-06 14:20:43.108325,0 days 00:00:59.372299,7,8,16,16,29,69,122,16,36,COMPLETE
722,61668.00002644224,2025-08-06 14:20:03.495243,2025-08-06 14:20:59.883944,0 days 00:00:56.388701,7,8,13,16,29,69,122,29,36,COMPLETE
723,41248.22492331316,2025-08-06 14:20:07.944693,2025-08-06 14:21:07.089022,0 days 00:00:59.144329,8,8,10,16,29,69,108,29,30,COMPLETE
724,35720.599014193715,2025-08-06 14:20:27.373017,2025-08-06 14:21:24.028029,0 days 00:00:56.655012,12,8,10,37,30,68,122,15,30,COMPLETE
725,137493.33943741478,2025-08-06 14:20:43.114790,2025-08-06 14:21:40.205862,0 days 00:00:57.091072,5,8,10,38,30,68,119,29,30,COMPLETE
726,-inf,2025-08-06 14:20:59.890304,2025-08-06 14:21:58.303612,0 days 00:00:58.413308,5,8,10,37,30,41,107,24,30,COMPLETE
727,289786.26910991967,2025-08-06 14:21:07.095434,2025-08-06 14:22:03.703367,0 days 00:00:56.607933,5,8,11,20,30,68,118,15,23,COMPLETE
728,172530.89797152174,2025-08-06 14:21:24.081749,2025-08-06 14:22:19.977298,0 days 00:00:55.895549,5,6,11,38,30,70,118,23,23,COMPLETE
729,130186.01896110349,2025-08-06 14:21:40.228045,2025-08-06 14:22:36.377805,0 days 00:00:56.149760,5,6,6,42,30,70,116,22,28,COMPLETE
730,124499.8393854925,2025-08-06 14:21:58.315825,2025-08-06 14:22:55.059678,0 days 00:00:56.743853,9,7,11,20,30,70,116,15,28,COMPLETE
731,31386.488267399003,2025-08-06 14:22:03.725516,2025-08-06 14:23:00.960940,0 days 00:00:57.235424,9,7,11,42,29,70,128,21,37,COMPLETE
732,82143.41515921516,2025-08-06 14:22:20.087696,2025-08-06 14:23:16.645315,0 days 00:00:56.557619,8,7,12,40,29,70,126,15,28,COMPLETE
733,2088.108907931479,2025-08-06 14:22:36.400529,2025-08-06 14:23:38.407975,0 days 00:01:02.007446,70,7,12,19,29,68,127,15,31,COMPLETE
734,116441.8939840163,2025-08-06 14:22:55.135165,2025-08-06 14:23:52.537817,0 days 00:00:57.402652,8,7,12,15,26,68,127,10,25,COMPLETE
735,267249.74350833136,2025-08-06 14:23:00.987822,2025-08-06 14:23:57.804755,0 days 00:00:56.816933,7,9,12,40,28,68,126,15,25,COMPLETE
736,330.39192989196965,2025-08-06 14:23:16.699381,2025-08-06 14:24:14.132726,0 days 00:00:57.433345,71,9,13,30,10,68,111,10,25,COMPLETE
737,150520.9830973681,2025-08-06 14:23:38.440524,2025-08-06 14:24:36.882719,0 days 00:00:58.442195,7,9,13,30,28,69,112,15,35,COMPLETE
738,153379.7626522446,2025-08-06 14:23:52.565030,2025-08-06 14:24:51.246675,0 days 00:00:58.681645,6,9,13,30,28,69,112,10,39,COMPLETE
739,13820.58521926009,2025-08-06 14:23:57.822164,2025-08-06 14:24:55.179109,0 days 00:00:57.356945,28,8,13,43,28,69,112,10,35,COMPLETE
740,122862.7421070153,2025-08-06 14:24:14.221375,2025-08-06 14:25:12.920176,0 days 00:00:58.698801,6,8,5,41,27,69,122,20,35,COMPLETE
741,117169.3553594023,2025-08-06 14:24:36.889477,2025-08-06 14:25:34.771756,0 days 00:00:57.882279,6,16,11,39,27,69,123,20,31,COMPLETE
742,12228.065693888631,2025-08-06 14:24:51.263879,2025-08-06 14:25:48.783838,0 days 00:00:57.519959,29,8,5,41,27,66,77,20,38,COMPLETE
743,-inf,2025-08-06 14:24:55.212765,2025-08-06 14:25:53.417521,0 days 00:00:58.204756,16,8,11,39,27,38,122,20,31,COMPLETE
744,55846.85485704623,2025-08-06 14:25:12.963434,2025-08-06 14:26:10.461727,0 days 00:00:57.498293,5,6,11,50,29,66,131,20,31,COMPLETE
745,3482.8257743866106,2025-08-06 14:25:34.818490,2025-08-06 14:26:34.708318,0 days 00:00:59.889828,5,6,11,36,9,66,132,24,29,COMPLETE
746,133105.12951027887,2025-08-06 14:25:48.888496,2025-08-06 14:26:45.372663,0 days 00:00:56.484167,5,6,11,18,29,67,131,15,29,COMPLETE
747,89801.1601621144,2025-08-06 14:25:53.435689,2025-08-06 14:26:51.106940,0 days 00:00:57.671251,5,6,14,18,29,67,145,15,29,COMPLETE
748,82198.23528077916,2025-08-06 14:26:10.489035,2025-08-06 14:27:07.344173,0 days 00:00:56.855138,9,6,12,18,30,67,134,10,29,COMPLETE
749,35759.66175479419,2025-08-06 14:26:34.780423,2025-08-06 14:27:33.131182,0 days 00:00:58.350759,9,7,14,18,29,67,141,10,26,COMPLETE
750,241139.91278694052,2025-08-06 14:26:45.405768,2025-08-06 14:27:43.906409,0 days 00:00:58.500641,9,5,15,19,30,67,118,10,33,COMPLETE
751,13464.618848816162,2025-08-06 14:26:51.144939,2025-08-06 14:27:49.880451,0 days 00:00:58.735512,8,5,12,22,30,70,118,41,27,COMPLETE
752,81393.71674828226,2025-08-06 14:27:07.377815,2025-08-06 14:28:06.247021,0 days 00:00:58.869206,8,5,15,22,30,70,118,15,33,COMPLETE
753,-inf,2025-08-06 14:27:33.153016,2025-08-06 14:28:32.817092,0 days 00:00:59.664076,7,5,12,20,30,45,118,26,33,COMPLETE
754,281518.88735569397,2025-08-06 14:27:43.922665,2025-08-06 14:28:41.496813,0 days 00:00:57.574148,7,7,12,20,28,70,124,15,27,COMPLETE
755,71124.44697971987,2025-08-06 14:27:49.899137,2025-08-06 14:28:44.954014,0 days 00:00:55.054877,7,7,17,40,29,70,125,27,37,COMPLETE
756,68890.67957457509,2025-08-06 14:28:06.295100,2025-08-06 14:29:05.977942,0 days 00:00:59.682842,7,7,12,40,29,68,124,33,37,COMPLETE
757,36793.7798104759,2025-08-06 14:28:32.841403,2025-08-06 14:29:35.830923,0 days 00:01:02.989520,7,7,12,40,18,68,125,15,27,COMPLETE
758,34348.97051402158,2025-08-06 14:28:41.513685,2025-08-06 14:29:42.732527,0 days 00:01:01.218842,12,8,11,38,29,68,128,32,37,COMPLETE
759,780631.6520192908,2025-08-06 14:28:44.965738,2025-08-06 14:29:47.509391,0 days 00:01:02.543653,6,8,11,38,29,69,128,10,28,COMPLETE
760,14163.48262758011,2025-08-06 14:29:06.170159,2025-08-06 14:30:12.880896,0 days 00:01:06.710737,11,8,9,38,28,69,130,48,28,COMPLETE
761,5952.471794663192,2025-08-06 14:29:35.913435,2025-08-06 14:30:46.830149,0 days 00:01:10.916714,67,8,9,42,28,69,129,10,28,COMPLETE
762,773233.4283471686,2025-08-06 14:29:42.816772,2025-08-06 14:30:55.128534,0 days 00:01:12.311762,6,8,10,41,28,69,135,10,30,COMPLETE
763,46104.257860005724,2025-08-06 14:29:47.539304,2025-08-06 14:30:57.225524,0 days 00:01:09.686220,11,8,13,37,28,69,136,20,28,COMPLETE
764,138601.19007704334,2025-08-06 14:30:12.932029,2025-08-06 14:31:09.082476,0 days 00:00:56.150447,6,8,13,37,30,69,138,19,28,COMPLETE
765,26377.07925736004,2025-08-06 14:30:46.852192,2025-08-06 14:31:47.590475,0 days 00:01:00.738283,9,8,13,37,30,69,136,20,26,COMPLETE
766,25466.204894150556,2025-08-06 14:30:55.191837,2025-08-06 14:31:53.336261,0 days 00:00:58.144424,9,7,10,41,29,68,136,19,26,COMPLETE
767,22277.17868255642,2025-08-06 14:30:57.265775,2025-08-06 14:31:52.641594,0 days 00:00:55.375819,9,8,11,41,29,68,140,19,26,COMPLETE
768,36634.93254239944,2025-08-06 14:31:09.104536,2025-08-06 14:32:01.174892,0 days 00:00:52.070356,9,7,10,41,29,68,141,15,26,COMPLETE
769,198358.3896809401,2025-08-06 14:31:47.638140,2025-08-06 14:32:38.564977,0 days 00:00:50.926837,6,7,10,41,29,68,140,15,30,COMPLETE
770,330738.1729167116,2025-08-06 14:31:52.663790,2025-08-06 14:32:45.571672,0 days 00:00:52.907882,6,7,10,41,29,67,134,15,30,COMPLETE
771,654278.5055470327,2025-08-06 14:31:53.354471,2025-08-06 14:32:47.263549,0 days 00:00:53.909078,6,7,10,39,28,67,133,10,30,COMPLETE
772,103367.7582047741,2025-08-06 14:32:01.181533,2025-08-06 14:32:55.696592,0 days 00:00:54.515059,6,7,7,39,28,67,133,25,30,COMPLETE
773,113859.1621720109,2025-08-06 14:32:38.603305,2025-08-06 14:33:33.081115,0 days 00:00:54.477810,6,6,11,42,28,67,134,25,29,COMPLETE
774,70359.22477850724,2025-08-06 14:32:45.588391,2025-08-06 14:33:39.669901,0 days 00:00:54.081510,5,6,11,43,28,66,193,10,27,COMPLETE
775,23048.383075760063,2025-08-06 14:32:47.288852,2025-08-06 14:33:40.976838,0 days 00:00:53.687986,5,7,10,39,28,67,148,25,29,COMPLETE
776,26362.778436301338,2025-08-06 14:32:55.745254,2025-08-06 14:33:51.978292,0 days 00:00:56.233038,14,7,9,39,28,70,143,24,29,COMPLETE
777,162025.29096391422,2025-08-06 14:33:33.087790,2025-08-06 14:34:29.646506,0 days 00:00:56.558716,8,7,9,39,28,69,131,10,29,COMPLETE
778,2336.5029894896566,2025-08-06 14:33:39.730154,2025-08-06 14:34:33.690981,0 days 00:00:53.960827,51,7,9,39,28,70,144,14,29,COMPLETE
779,30715.5136813267,2025-08-06 14:33:41.000647,2025-08-06 14:34:34.231788,0 days 00:00:53.231141,8,14,9,39,28,69,146,15,30,COMPLETE
780,167383.76694788082,2025-08-06 14:33:51.999846,2025-08-06 14:34:46.126652,0 days 00:00:54.126806,8,8,8,39,28,69,131,10,30,COMPLETE
781,11777.369045096928,2025-08-06 14:34:29.652951,2025-08-06 14:35:25.977495,0 days 00:00:56.324544,8,8,10,40,28,62,138,15,30,COMPLETE
782,221617.86643137017,2025-08-06 14:34:33.708102,2025-08-06 14:35:28.246897,0 days 00:00:54.538795,7,8,10,38,27,68,138,10,30,COMPLETE
783,222909.18732246096,2025-08-06 14:34:34.279567,2025-08-06 14:35:27.582391,0 days 00:00:53.302824,7,8,8,40,27,68,138,10,31,COMPLETE
784,162420.47730033452,2025-08-06 14:34:46.137882,2025-08-06 14:35:40.273313,0 days 00:00:54.135431,7,9,10,38,29,68,138,16,31,COMPLETE
785,37497.667540648465,2025-08-06 14:35:25.989351,2025-08-06 14:36:19.405245,0 days 00:00:53.415894,7,9,10,38,29,68,134,59,31,COMPLETE
786,3486.4836236798133,2025-08-06 14:35:27.604475,2025-08-06 14:36:23.840271,0 days 00:00:56.235796,5,9,10,38,29,58,133,60,28,COMPLETE
787,50990.78461726409,2025-08-06 14:35:28.248332,2025-08-06 14:36:24.056102,0 days 00:00:55.807770,5,9,11,42,29,66,133,20,28,COMPLETE
788,45697.8917735938,2025-08-06 14:35:40.290232,2025-08-06 14:36:33.376375,0 days 00:00:53.086143,5,9,11,40,29,66,130,21,27,COMPLETE
789,43818.383753977505,2025-08-06 14:36:19.412130,2025-08-06 14:37:14.210800,0 days 00:00:54.798670,5,7,11,40,29,66,130,21,28,COMPLETE
790,11555.594595522804,2025-08-06 14:36:23.862427,2025-08-06 14:37:17.900706,0 days 00:00:54.038279,11,7,11,40,29,70,130,20,28,COMPLETE
791,16947.714392009686,2025-08-06 14:36:24.073749,2025-08-06 14:37:18.963927,0 days 00:00:54.890178,10,7,11,40,28,70,128,20,27,COMPLETE
792,20896.15658435976,2025-08-06 14:36:33.482622,2025-08-06 14:37:25.430707,0 days 00:00:51.948085,10,7,11,40,28,70,128,16,27,COMPLETE
793,28536.97378640003,2025-08-06 14:37:14.259138,2025-08-06 14:38:11.232847,0 days 00:00:56.973709,10,7,12,40,28,70,128,15,27,COMPLETE
794,272217.9565481123,2025-08-06 14:37:17.912810,2025-08-06 14:38:12.222096,0 days 00:00:54.309286,7,8,12,42,28,69,127,15,27,COMPLETE
795,550981.3005291085,2025-08-06 14:37:18.990845,2025-08-06 14:38:13.445440,0 days 00:00:54.454595,7,8,12,41,28,69,127,10,24,COMPLETE
796,2134.9827642499486,2025-08-06 14:37:25.466147,2025-08-06 14:38:17.897806,0 days 00:00:52.431659,7,8,12,43,29,55,127,31,29,COMPLETE
797,82905.8084825974,2025-08-06 14:38:11.280773,2025-08-06 14:39:05.944930,0 days 00:00:54.664157,7,8,12,42,30,69,126,29,31,COMPLETE
798,76958.663494364,2025-08-06 14:38:12.244050,2025-08-06 14:39:06.652494,0 days 00:00:54.408444,6,8,12,41,29,69,123,27,24,COMPLETE
799,24675.10076646414,2025-08-06 14:38:13.475105,2025-08-06 14:39:08.076693,0 days 00:00:54.601588,5,13,12,43,29,68,135,29,30,COMPLETE
800,442292.1638220128,2025-08-06 14:38:17.898881,2025-08-06 14:39:11.806350,0 days 00:00:53.907469,5,8,6,41,30,69,134,10,31,COMPLETE
801,4272.609658315795,2025-08-06 14:39:06.004148,2025-08-06 14:40:02.138980,0 days 00:00:56.134832,6,7,11,41,29,65,135,176,30,COMPLETE
802,26296.11676918738,2025-08-06 14:39:06.680750,2025-08-06 14:40:02.038576,0 days 00:00:55.357826,5,13,11,39,30,68,135,85,30,COMPLETE
803,77008.84260998554,2025-08-06 14:39:08.078422,2025-08-06 14:40:04.476225,0 days 00:00:56.397803,9,7,11,39,30,68,134,10,31,COMPLETE
804,94354.24752107207,2025-08-06 14:39:11.808446,2025-08-06 14:40:06.343661,0 days 00:00:54.535215,8,7,11,39,27,67,122,10,32,COMPLETE
805,28184.335362371155,2025-08-06 14:40:02.086796,2025-08-06 14:40:56.015141,0 days 00:00:53.928345,9,7,11,39,27,67,123,15,32,COMPLETE
806,63631.96914889205,2025-08-06 14:40:02.145510,2025-08-06 14:40:56.458324,0 days 00:00:54.312814,9,7,11,39,27,67,122,10,32,COMPLETE
807,30501.097282173938,2025-08-06 14:40:04.482851,2025-08-06 14:40:58.608303,0 days 00:00:54.125452,8,7,10,38,27,67,122,17,32,COMPLETE
808,1633.398606275163,2025-08-06 14:40:06.344798,2025-08-06 14:40:59.756225,0 days 00:00:53.411427,55,8,10,42,29,59,124,16,29,COMPLETE
809,2609.7211833857987,2025-08-06 14:40:56.072014,2025-08-06 14:41:56.237014,0 days 00:01:00.165000,55,8,12,42,29,70,129,16,25,COMPLETE
810,-inf,2025-08-06 14:40:56.461536,2025-08-06 14:41:54.588444,0 days 00:00:58.126908,7,8,5,42,29,36,141,19,29,COMPLETE
811,111332.06820329017,2025-08-06 14:40:58.630549,2025-08-06 14:41:55.875266,0 days 00:00:57.244717,6,8,5,42,29,70,130,23,29,COMPLETE
812,16278.173635745032,2025-08-06 14:40:59.758841,2025-08-06 14:41:56.596160,0 days 00:00:56.837319,13,8,5,15,28,70,130,24,28,COMPLETE
813,42312.52400215285,2025-08-06 14:41:54.754452,2025-08-06 14:42:54.362261,0 days 00:00:59.607809,5,8,12,15,28,70,130,24,25,COMPLETE
814,1332.9302382385426,2025-08-06 14:41:55.940643,2025-08-06 14:42:53.893643,0 days 00:00:57.953000,41,8,12,40,28,63,131,245,26,COMPLETE
815,-871.8141450768459,2025-08-06 14:41:56.243997,2025-08-06 14:42:56.037180,0 days 00:00:59.793183,36,7,12,40,28,69,131,24,26,COMPLETE
816,854657.1026223961,2025-08-06 14:41:56.597462,2025-08-06 14:42:56.413919,0 days 00:00:59.816457,5,7,12,44,30,69,126,10,26,COMPLETE
817,-inf,2025-08-06 14:42:54.013392,2025-08-06 14:43:52.885876,0 days 00:00:58.872484,5,7,12,28,30,33,126,10,28,COMPLETE
818,230344.76428019794,2025-08-06 14:42:54.411200,2025-08-06 14:43:54.324224,0 days 00:00:59.913024,5,7,11,28,30,69,241,10,49,COMPLETE
819,184755.78234458013,2025-08-06 14:42:56.063885,2025-08-06 14:43:54.835085,0 days 00:00:58.771200,5,7,15,38,17,68,125,10,30,COMPLETE
820,-inf,2025-08-06 14:42:56.415907,2025-08-06 14:43:53.985072,0 days 00:00:57.569165,5,7,13,41,30,43,121,15,25,COMPLETE
821,42.81715280988659,2025-08-06 14:43:52.995609,2025-08-06 14:44:51.889974,0 days 00:00:58.894365,31,7,13,44,29,69,121,16,25,COMPLETE
822,30292.833363710837,2025-08-06 14:43:54.054786,2025-08-06 14:44:52.500319,0 days 00:00:58.445533,5,7,12,44,29,69,124,261,26,COMPLETE
823,158307.88087761644,2025-08-06 14:43:54.336156,2025-08-06 14:44:52.830399,0 days 00:00:58.494243,6,7,12,44,29,69,139,16,26,COMPLETE
824,143042.39563371945,2025-08-06 14:43:54.837509,2025-08-06 14:44:52.677349,0 days 00:00:57.839840,7,7,12,45,29,69,139,19,26,COMPLETE
825,2256.2798904920783,2025-08-06 14:44:52.015246,2025-08-06 14:45:51.238660,0 days 00:00:59.223414,7,7,12,44,29,70,175,264,26,COMPLETE
826,7664.561377888003,2025-08-06 14:44:52.532807,2025-08-06 14:45:50.652146,0 days 00:00:58.119339,7,8,12,46,12,70,138,19,27,COMPLETE
827,239011.43431474027,2025-08-06 14:44:52.719316,2025-08-06 14:45:51.594678,0 days 00:00:58.875362,7,10,12,45,30,70,134,16,27,COMPLETE
828,145575.9378831291,2025-08-06 14:44:52.831732,2025-08-06 14:45:50.605132,0 days 00:00:57.773400,7,8,13,43,30,70,134,20,27,COMPLETE
829,86138.7951492739,2025-08-06 14:45:50.628038,2025-08-06 14:46:49.556680,0 days 00:00:58.928642,8,8,12,44,28,70,120,15,27,COMPLETE
830,17839.507031406763,2025-08-06 14:45:50.718221,2025-08-06 14:46:46.744268,0 days 00:00:56.026047,8,10,12,43,28,70,127,37,28,COMPLETE
