number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
42,4460.60587455228,2025-08-03 21:36:26.846442,2025-08-03 21:36:43.145861,0 days 00:00:16.299419,3.264158628430974,48,54,COMPLETE
43,9390.98980983143,2025-08-03 21:36:26.848113,2025-08-03 21:36:43.133685,0 days 00:00:16.285572,1.9269916810350165,37,32,COMPLETE
44,3224.9067804706588,2025-08-03 21:36:26.849597,2025-08-03 21:36:42.490682,0 days 00:00:15.641085,2.5338556855842325,43,66,COMPLETE
45,594.1834426800348,2025-08-03 21:36:26.853971,2025-08-03 21:36:43.656616,0 days 00:00:16.802645,3.381001809920498,17,90,COMPLETE
46,9713.783216041844,2025-08-03 21:36:26.855762,2025-08-03 21:36:43.638843,0 days 00:00:16.783081,1.1993316471827362,27,24,COMPLETE
47,24250.735816700082,2025-08-03 21:36:26.878733,2025-08-03 21:36:44.263769,0 days 00:00:17.385036,4.177656337487841,25,45,COMPLETE
48,6004.677563106503,2025-08-03 21:36:26.879763,2025-08-03 21:36:44.106502,0 days 00:00:17.226739,4.062191764214299,40,89,COMPLETE
49,4059.154044234684,2025-08-03 21:36:26.932740,2025-08-03 21:36:44.625555,0 days 00:00:17.692815,2.6699488520499735,34,47,COMPLETE
50,8079.039425718365,2025-08-03 21:36:26.945875,2025-08-03 21:36:45.400392,0 days 00:00:18.454517,1.4496973338257173,45,90,COMPLETE
51,5462.834232641449,2025-08-03 21:36:26.957171,2025-08-03 21:36:46.597574,0 days 00:00:19.640403,2.3850140560116215,8,82,COMPLETE
52,-inf,2025-08-03 21:36:26.984573,2025-08-03 21:36:45.742736,0 days 00:00:18.758163,4.081295826689805,46,26,COMPLETE
53,4396.184045768919,2025-08-03 21:36:26.985554,2025-08-03 21:36:45.803829,0 days 00:00:18.818275,0.6495930600524948,40,42,COMPLETE
54,1072.7354935735268,2025-08-03 21:36:27.031483,2025-08-03 21:36:46.369056,0 days 00:00:19.337573,1.1169565496508493,48,78,COMPLETE
