number,value,datetime_start,datetime_complete,duration,params_macd_fast,params_macd_signal,params_macd_slow,params_volume_sma,params_volume_spike_ratio,state
39,9232.63190628622,2025-07-31 22:27:46.074452,2025-07-31 22:29:14.633218,0 days 00:01:28.558766,8,8,19,14,2.5010747830771916,COMPLETE
40,17315.26577064916,2025-07-31 22:27:46.092819,2025-07-31 22:28:36.566308,0 days 00:00:50.473489,11,5,40,38,2.5424267094225192,COMPLETE
41,4631.326127193369,2025-07-31 22:27:46.105047,2025-07-31 22:28:37.042128,0 days 00:00:50.937081,17,17,27,20,2.0812175045819044,COMPLETE
42,7304.862722107461,2025-07-31 22:27:46.149733,2025-07-31 22:28:37.324364,0 days 00:00:51.174631,12,18,19,50,2.990887500816805,COMPLETE
43,5331.836051758644,2025-07-31 22:27:46.182807,2025-07-31 22:28:37.126865,0 days 00:00:50.944058,5,8,37,43,2.871783050597228,COMPLETE
44,4476.64702619405,2025-07-31 22:27:46.268793,2025-07-31 22:28:37.828907,0 days 00:00:51.560114,9,6,34,34,2.4150750597533936,COMPLETE
45,6821.992892487308,2025-07-31 22:27:46.292249,2025-07-31 22:28:38.709823,0 days 00:00:52.417574,18,8,41,42,1.7402544826898483,COMPLETE
46,3393.920613614917,2025-07-31 22:27:46.324781,2025-07-31 22:28:40.744977,0 days 00:00:54.420196,17,9,44,40,2.335634722838253,COMPLETE
47,13398.801493519184,2025-07-31 22:27:46.380930,2025-07-31 22:28:42.095029,0 days 00:00:55.714099,20,14,42,45,2.8338923486948078,COMPLETE
48,3696.5900178458983,2025-07-31 22:27:46.444352,2025-07-31 22:28:41.032546,0 days 00:00:54.588194,9,17,19,17,2.3223477667926824,COMPLETE
49,10608.669723680528,2025-07-31 22:27:46.478864,2025-07-31 22:28:45.571936,0 days 00:00:59.093072,16,11,50,35,1.9920354249592995,COMPLETE
50,3066.115393202946,2025-07-31 22:27:46.523148,2025-07-31 22:28:45.797016,0 days 00:00:59.273868,10,20,31,33,1.6620269098990144,COMPLETE
51,2530.9521461340532,2025-07-31 22:27:46.546518,2025-07-31 22:28:44.222036,0 days 00:00:57.675518,15,19,35,32,1.611562470159209,COMPLETE
52,8649.033624173173,2025-07-31 22:27:46.573827,2025-07-31 22:28:43.669481,0 days 00:00:57.095654,14,17,26,34,2.95060212254822,COMPLETE
53,11484.051555780032,2025-07-31 22:27:46.586273,2025-07-31 22:28:46.243134,0 days 00:00:59.656861,16,8,43,6,2.461973091121573,COMPLETE
54,4882.411885969924,2025-07-31 22:27:46.649335,2025-07-31 22:28:48.720913,0 days 00:01:02.071578,17,18,26,45,1.8370802687283727,COMPLETE
55,11056.576476052705,2025-07-31 22:27:46.692786,2025-07-31 22:28:48.078917,0 days 00:01:01.386131,13,10,29,38,2.8750070876350966,COMPLETE
56,3088.9636384796418,2025-07-31 22:27:46.709103,2025-07-31 22:28:48.329109,0 days 00:01:01.620006,12,12,44,21,2.7120372180082897,COMPLETE
57,4284.688707811609,2025-07-31 22:27:46.725610,2025-07-31 22:28:48.294109,0 days 00:01:01.568499,17,11,44,37,2.554299105160608,COMPLETE
58,5039.109593510887,2025-07-31 22:27:46.757905,2025-07-31 22:28:50.087945,0 days 00:01:03.330040,6,7,50,22,2.3210744881492023,COMPLETE
59,8595.345747815993,2025-07-31 22:27:46.797886,2025-07-31 22:28:52.528843,0 days 00:01:05.730957,10,9,16,32,2.662415949143137,COMPLETE
60,4664.084861024132,2025-07-31 22:27:46.808401,2025-07-31 22:28:50.835281,0 days 00:01:04.026880,19,11,40,19,2.7145814079255217,COMPLETE
61,14357.155334474868,2025-07-31 22:27:46.896829,2025-07-31 22:28:50.419032,0 days 00:01:03.522203,13,13,25,46,1.7283587154404723,COMPLETE
62,4813.393063836052,2025-07-31 22:27:46.914850,2025-07-31 22:28:54.749138,0 days 00:01:07.834288,7,11,47,42,2.4049054584420357,COMPLETE
63,13525.991737997745,2025-07-31 22:27:46.947268,2025-07-31 22:28:55.125579,0 days 00:01:08.178311,16,5,48,6,2.3680849121666974,COMPLETE
64,3329.080111549347,2025-07-31 22:27:47.001051,2025-07-31 22:28:56.179648,0 days 00:01:09.178597,9,14,34,16,2.4563541977967414,COMPLETE
65,10827.398035882505,2025-07-31 22:27:47.018651,2025-07-31 22:28:55.340314,0 days 00:01:08.321663,19,13,23,16,2.9375805183060213,COMPLETE
66,6918.906831263077,2025-07-31 22:27:47.045198,2025-07-31 22:28:55.653638,0 days 00:01:08.608440,8,5,41,40,2.2247745887452424,COMPLETE
67,4566.03118940353,2025-07-31 22:27:47.082696,2025-07-31 22:28:57.894649,0 days 00:01:10.811953,9,19,40,5,2.238361914255971,COMPLETE
68,7194.446039515032,2025-07-31 22:27:47.101069,2025-07-31 22:28:56.085362,0 days 00:01:08.984293,15,19,25,16,1.815596062447772,COMPLETE
69,2725.912479927287,2025-07-31 22:27:47.109452,2025-07-31 22:28:57.744417,0 days 00:01:10.634965,8,14,38,49,2.1835650051819355,COMPLETE
70,4771.2105057479785,2025-07-31 22:27:47.127084,2025-07-31 22:28:59.101184,0 days 00:01:11.974100,8,5,21,37,2.4337770844586037,COMPLETE
71,18176.22719122946,2025-07-31 22:27:47.133472,2025-07-31 22:28:58.698490,0 days 00:01:11.565018,11,5,44,20,2.1631665736508467,COMPLETE
72,8700.067945202,2025-07-31 22:27:47.134328,2025-07-31 22:29:01.106428,0 days 00:01:13.972100,8,17,24,8,2.693047013143632,COMPLETE
73,13412.252499526943,2025-07-31 22:27:47.168564,2025-07-31 22:29:01.883920,0 days 00:01:14.715356,16,5,50,7,2.686235244819776,COMPLETE
74,1452.5338782776512,2025-07-31 22:27:47.206921,2025-07-31 22:29:04.124521,0 days 00:01:16.917600,13,19,41,29,2.2516523718188273,COMPLETE
75,8384.41009029686,2025-07-31 22:27:47.213829,2025-07-31 22:29:05.900962,0 days 00:01:18.687133,13,17,34,33,2.941827176144671,COMPLETE
76,7820.287110189562,2025-07-31 22:27:47.239226,2025-07-31 22:29:05.412983,0 days 00:01:18.173757,11,13,26,23,2.1965932722647485,COMPLETE
77,5273.507442785636,2025-07-31 22:27:47.249635,2025-07-31 22:29:06.051356,0 days 00:01:18.801721,7,18,23,21,1.5891944571116734,COMPLETE
78,-inf,2025-07-31 22:27:47.267322,2025-07-31 22:28:52.100369,0 days 00:01:04.833047,20,11,20,34,2.380072293173026,COMPLETE
79,3907.648137215504,2025-07-31 22:27:47.306899,2025-07-31 22:30:01.696619,0 days 00:02:14.389720,5,12,47,16,1.7062353253961302,COMPLETE
80,4020.2809415227593,2025-07-31 22:27:47.344760,2025-07-31 22:29:06.039097,0 days 00:01:18.694337,10,13,35,30,2.210016740202332,COMPLETE
81,9621.84331131251,2025-07-31 22:27:47.347472,2025-07-31 22:29:06.577249,0 days 00:01:19.229777,19,11,35,47,1.6357222908026856,COMPLETE
82,2144.4672052543674,2025-07-31 22:27:47.389733,2025-07-31 22:29:06.992221,0 days 00:01:19.602488,5,8,44,34,2.476998508007817,COMPLETE
83,6048.151412720184,2025-07-31 22:27:47.396401,2025-07-31 22:29:09.906244,0 days 00:01:22.509843,13,16,35,27,2.3192390113357306,COMPLETE
84,19148.616328730037,2025-07-31 22:27:47.408250,2025-07-31 22:29:07.534785,0 days 00:01:20.126535,11,8,41,18,2.283120473869319,COMPLETE
85,12481.533399657728,2025-07-31 22:27:47.429543,2025-07-31 22:28:31.829414,0 days 00:00:44.399871,16,18,41,32,2.6916445082576734,COMPLETE
86,5797.10729657336,2025-07-31 22:27:47.442691,2025-07-31 22:29:08.407419,0 days 00:01:20.964728,19,10,49,14,2.8101313026363295,COMPLETE
87,16208.766140375737,2025-07-31 22:27:47.453353,2025-07-31 22:29:09.997377,0 days 00:01:22.544024,16,17,22,50,2.7678318900807506,COMPLETE
88,11082.206413124699,2025-07-31 22:27:47.569174,2025-07-31 22:29:12.262156,0 days 00:01:24.692982,17,6,39,33,2.339338444308609,COMPLETE
89,6214.917903975759,2025-07-31 22:27:47.587294,2025-07-31 22:29:12.965251,0 days 00:01:25.377957,7,14,34,31,2.7053224287662903,COMPLETE
90,14891.725467693203,2025-07-31 22:27:47.614844,2025-07-31 22:29:14.288924,0 days 00:01:26.674080,15,11,20,15,2.8770364959152905,COMPLETE
91,8563.623702129442,2025-07-31 22:27:47.656571,2025-07-31 22:29:14.543528,0 days 00:01:26.886957,11,18,32,20,2.39451780416336,COMPLETE
92,5717.9234814511865,2025-07-31 22:27:47.663634,2025-07-31 22:29:14.412292,0 days 00:01:26.748658,20,16,36,14,1.99255456628389,COMPLETE
93,3231.5485916798193,2025-07-31 22:27:47.674509,2025-07-31 22:29:14.681554,0 days 00:01:27.007045,7,5,26,23,2.30986942319532,COMPLETE
94,12013.434244320079,2025-07-31 22:27:47.733704,2025-07-31 22:29:15.499429,0 days 00:01:27.765725,14,5,33,39,2.3377158333004298,COMPLETE
95,4777.8386779869215,2025-07-31 22:27:47.777797,2025-07-31 22:29:15.484358,0 days 00:01:27.706561,10,9,50,16,1.607820042199138,COMPLETE
96,5695.093188429642,2025-07-31 22:27:47.843926,2025-07-31 22:29:16.277082,0 days 00:01:28.433156,7,15,16,22,2.2563673743880357,COMPLETE
97,4514.9157880362145,2025-07-31 22:27:47.850091,2025-07-31 22:29:16.369432,0 days 00:01:28.519341,6,14,31,22,2.2222414275223743,COMPLETE
98,10517.680764238125,2025-07-31 22:27:47.890515,2025-07-31 22:29:17.499948,0 days 00:01:29.609433,10,18,40,11,1.9455149542314385,COMPLETE
99,8500.949194244613,2025-07-31 22:27:47.917724,2025-07-31 22:29:16.923196,0 days 00:01:29.005472,8,13,23,32,2.627263995341317,COMPLETE
100,12549.703268292184,2025-07-31 22:27:47.959101,2025-07-31 22:29:17.014108,0 days 00:01:29.055007,5,5,20,13,2.6690787754962164,COMPLETE
101,5031.303464931523,2025-07-31 22:27:48.058351,2025-07-31 22:29:24.290151,0 days 00:01:36.231800,13,18,19,18,2.4455359349197914,COMPLETE
102,14689.234786537645,2025-07-31 22:27:48.111210,2025-07-31 22:29:23.635589,0 days 00:01:35.524379,18,17,42,7,2.4819885131516,COMPLETE
103,5186.117641301186,2025-07-31 22:27:48.233856,2025-07-31 22:29:28.485074,0 days 00:01:40.251218,7,12,24,22,2.659268617164501,COMPLETE
104,4950.623576241469,2025-07-31 22:27:48.268594,2025-07-31 22:29:25.716410,0 days 00:01:37.447816,7,16,21,17,2.247563080834187,COMPLETE
105,26781.20950953494,2025-07-31 22:27:48.295062,2025-07-31 22:29:31.428134,0 days 00:01:43.133072,12,8,29,15,2.7016970768336823,COMPLETE
106,2836.246967170207,2025-07-31 22:27:48.307463,2025-07-31 22:29:28.710915,0 days 00:01:40.403452,16,9,42,31,2.177012706195603,COMPLETE
107,4739.306515723171,2025-07-31 22:27:48.363764,2025-07-31 22:29:34.227301,0 days 00:01:45.863537,5,5,25,13,1.8263567210869343,COMPLETE
108,5259.6497317791445,2025-07-31 22:27:48.406310,2025-07-31 22:29:27.558345,0 days 00:01:39.152035,17,20,32,10,1.6214080985029173,COMPLETE
109,20432.606134678972,2025-07-31 22:27:48.423348,2025-07-31 22:29:29.711892,0 days 00:01:41.288544,10,8,44,25,2.7051633363629723,COMPLETE
110,3969.8354083891572,2025-07-31 22:27:48.478435,2025-07-31 22:29:31.641356,0 days 00:01:43.162921,20,10,33,8,2.1864641019805497,COMPLETE
111,10696.892898445869,2025-07-31 22:27:48.552850,2025-07-31 22:29:31.987226,0 days 00:01:43.434376,18,14,23,24,1.643957730132653,COMPLETE
112,1200.4784366925867,2025-07-31 22:27:48.563629,2025-07-31 22:29:32.353160,0 days 00:01:43.789531,17,15,38,26,2.6353144553327965,COMPLETE
113,6163.524604153149,2025-07-31 22:27:48.596225,2025-07-31 22:29:32.904569,0 days 00:01:44.308344,5,16,24,48,1.710613712351197,COMPLETE
114,2496.0310381422423,2025-07-31 22:27:48.619690,2025-07-31 22:29:32.702820,0 days 00:01:44.083130,14,17,44,15,2.0459270258964652,COMPLETE
115,5374.032616056719,2025-07-31 22:27:48.636640,2025-07-31 22:29:33.915767,0 days 00:01:45.279127,5,17,24,27,1.828485635471264,COMPLETE
116,6545.81591097217,2025-07-31 22:27:48.696691,2025-07-31 22:29:31.658828,0 days 00:01:42.962137,7,10,21,5,1.9072886787312768,COMPLETE
117,1359.3423462428989,2025-07-31 22:27:48.718471,2025-07-31 22:29:27.480398,0 days 00:01:38.761927,13,18,42,38,2.159164698226631,COMPLETE
118,-inf,2025-07-31 22:27:48.751298,2025-07-31 22:29:17.010174,0 days 00:01:28.258876,20,7,15,47,2.3893169221176644,COMPLETE
119,-inf,2025-07-31 22:27:48.774412,2025-07-31 22:29:17.144052,0 days 00:01:28.369640,17,12,16,36,1.5570876537245915,COMPLETE
120,6874.517637220744,2025-07-31 22:27:48.790158,2025-07-31 22:29:36.662871,0 days 00:01:47.872713,11,10,20,36,1.5917367250202477,COMPLETE
121,6974.91444829371,2025-07-31 22:27:48.894028,2025-07-31 22:29:36.935965,0 days 00:01:48.041937,12,19,33,27,2.3588551574544194,COMPLETE
122,28044.305884871388,2025-07-31 22:27:48.922681,2025-07-31 22:29:36.049722,0 days 00:01:47.127041,16,7,23,34,2.6228191866101804,COMPLETE
123,10518.791252342777,2025-07-31 22:27:48.947357,2025-07-31 22:29:37.392782,0 days 00:01:48.445425,8,8,38,16,2.060245125716219,COMPLETE
