number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
42,4316.275389464672,2025-08-06 11:09:03.995735,2025-08-06 11:09:21.319754,0 days 00:00:17.324019,2.532198712134013,35,45,COMPLETE
43,30790.672174382238,2025-08-06 11:09:03.997016,2025-08-06 11:09:21.207080,0 days 00:00:17.210064,4.235707744700229,34,31,COMPLETE
44,4933.799544007418,2025-08-06 11:09:04.020815,2025-08-06 11:09:21.672227,0 days 00:00:17.651412,2.193477042170985,39,90,COMPLETE
45,8150.822089912905,2025-08-06 11:09:04.034012,2025-08-06 11:09:23.116031,0 days 00:00:19.082019,3.272167052574526,24,22,COMPLETE
46,6717.764950866998,2025-08-06 11:09:04.059419,2025-08-06 11:09:22.644827,0 days 00:00:18.585408,2.1681920791490636,27,61,COMPLETE
47,8328.888589471198,2025-08-06 11:09:04.066454,2025-08-06 11:09:13.256498,0 days 00:00:09.190044,4.414998332291285,19,51,COMPLETE
48,8850.786161817523,2025-08-06 11:09:04.146721,2025-08-06 11:09:37.474297,0 days 00:00:33.327576,2.0826174102948523,23,44,COMPLETE
49,4402.2808840562175,2025-08-06 11:09:04.210348,2025-08-06 11:09:14.160743,0 days 00:00:09.950395,3.994889896694228,45,90,COMPLETE
50,12925.549589318991,2025-08-06 11:09:04.227227,2025-08-06 11:09:23.500531,0 days 00:00:19.273304,3.677166490464055,29,42,COMPLETE
51,4609.872700223622,2025-08-06 11:09:04.372592,2025-08-06 11:09:23.667720,0 days 00:00:19.295128,0.9138048741769915,21,30,COMPLETE
52,10459.359274390055,2025-08-06 11:09:04.374921,2025-08-06 11:09:23.308502,0 days 00:00:18.933581,1.6627688842473876,22,22,COMPLETE
53,15306.653406067846,2025-08-06 11:09:04.529368,2025-08-06 11:09:23.924278,0 days 00:00:19.394910,3.7378335208845104,5,50,COMPLETE
54,16224.839835508003,2025-08-06 11:09:04.570954,2025-08-06 11:09:24.169193,0 days 00:00:19.598239,4.204360650613967,26,63,COMPLETE
55,7577.949240013343,2025-08-06 11:09:04.630455,2025-08-06 11:09:24.343167,0 days 00:00:19.712712,3.1911498758539896,6,35,COMPLETE
56,5351.340167344456,2025-08-06 11:09:04.723576,2025-08-06 11:09:25.133928,0 days 00:00:20.410352,4.179544940581527,37,61,COMPLETE
57,8470.91485577108,2025-08-06 11:09:04.797324,2025-08-06 11:09:25.285080,0 days 00:00:20.487756,1.3027779722969375,13,88,COMPLETE
58,4634.620328110074,2025-08-06 11:09:05.086400,2025-08-06 11:09:25.488822,0 days 00:00:20.402422,2.018267689847634,13,58,COMPLETE
59,5224.421719774553,2025-08-06 11:09:05.197331,2025-08-06 11:09:26.289803,0 days 00:00:21.092472,2.3994601066838954,24,86,COMPLETE
60,12293.975771262292,2025-08-06 11:09:05.296669,2025-08-06 11:09:26.331816,0 days 00:00:21.035147,0.9677417397497847,7,20,COMPLETE
61,5253.131280413147,2025-08-06 11:09:05.422513,2025-08-06 11:09:27.840731,0 days 00:00:22.418218,2.541007595396037,17,37,COMPLETE
62,4912.686535171645,2025-08-06 11:09:05.594884,2025-08-06 11:09:27.997627,0 days 00:00:22.402743,3.526196626377815,25,39,COMPLETE
63,5670.518239970553,2025-08-06 11:09:05.700467,2025-08-06 11:09:28.474397,0 days 00:00:22.773930,2.150930232394957,17,34,COMPLETE
64,3232.2921598829967,2025-08-06 11:09:05.723213,2025-08-06 11:09:27.865530,0 days 00:00:22.142317,1.1970913922903885,33,41,COMPLETE
65,7245.030749599382,2025-08-06 11:09:05.804035,2025-08-06 11:09:27.952627,0 days 00:00:22.148592,4.1246032544439055,46,61,COMPLETE
66,23159.562268797043,2025-08-06 11:09:05.909107,2025-08-06 11:09:29.962029,0 days 00:00:24.052922,3.887425878061357,17,34,COMPLETE
