number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
177,5265.723273856676,2025-07-01 16:03:38.544873,2025-07-01 16:54:08.629531,0 days 00:50:30.084658,29,5,3,19,74,26,3,COMPLETE
178,2511.8726547912447,2025-07-01 16:03:38.787482,2025-07-01 16:53:58.360005,0 days 00:50:19.572523,4,13,3,8,75,17,3,COMPLETE
179,4418.948477495671,2025-07-01 16:03:39.231921,2025-07-01 16:53:21.391875,0 days 00:49:42.159954,25,30,7,9,64,24,4,COMPLETE
180,3951.684810380075,2025-07-01 16:03:39.720036,2025-07-01 16:54:41.895611,0 days 00:51:02.175575,12,9,7,11,87,29,2,COMPLETE
181,5179.285408700685,2025-07-01 16:03:39.775579,2025-07-01 16:55:10.744665,0 days 00:51:30.969086,26,20,3,20,83,16,1,COMPLETE
182,-1651.3392793690055,2025-07-01 16:03:39.826807,2025-07-01 16:51:49.204991,0 days 00:48:09.378184,15,11,8,10,90,27,2,COMPLETE
183,4197.785676238328,2025-07-01 16:03:39.897844,2025-07-01 16:54:51.299641,0 days 00:51:11.401797,28,18,10,18,74,25,5,COMPLETE
184,4632.198338324249,2025-07-01 16:03:40.140904,2025-07-01 16:53:19.548054,0 days 00:49:39.407150,27,14,8,11,69,32,2,COMPLETE
185,4462.34737583035,2025-07-01 16:03:40.364080,2025-07-01 16:54:11.010895,0 days 00:50:30.646815,8,8,8,21,68,24,5,COMPLETE
186,4863.052891852207,2025-07-01 16:03:40.520010,2025-07-01 16:55:18.614985,0 days 00:51:38.094975,17,5,7,17,81,28,4,COMPLETE
187,3952.820981895,2025-07-01 16:03:41.214911,2025-07-01 16:55:38.154534,0 days 00:51:56.939623,18,7,3,16,70,34,1,COMPLETE
188,5536.448563706801,2025-07-01 16:03:41.416552,2025-07-01 16:55:28.350614,0 days 00:51:46.934062,25,12,8,20,67,38,3,COMPLETE
189,7860.816597308031,2025-07-01 16:03:41.444631,2025-07-01 16:54:28.184092,0 days 00:50:46.739461,22,18,9,21,63,12,2,COMPLETE
190,3294.961474128424,2025-07-01 16:03:41.496692,2025-07-01 16:53:07.545063,0 days 00:49:26.048371,1,28,7,21,83,29,2,COMPLETE
191,4375.462107870126,2025-07-01 16:03:41.569460,2025-07-01 16:55:38.638624,0 days 00:51:57.069164,24,19,7,7,67,16,2,COMPLETE
192,535.8298471199159,2025-07-01 16:03:41.949901,2025-07-01 16:54:47.158073,0 days 00:51:05.208172,11,9,5,21,81,35,1,COMPLETE
193,4055.049304035454,2025-07-01 16:03:42.340128,2025-07-01 16:54:10.193620,0 days 00:50:27.853492,28,23,4,13,82,39,5,COMPLETE
194,5492.644190458714,2025-07-01 16:03:43.099047,2025-07-01 16:56:14.481250,0 days 00:52:31.382203,3,19,7,19,72,32,2,COMPLETE
195,-46.79536791504847,2025-07-01 16:03:43.388351,2025-07-01 16:53:59.511640,0 days 00:50:16.123289,4,29,10,5,61,14,3,COMPLETE
196,3937.9422963277393,2025-07-01 16:03:43.544336,2025-07-01 16:55:27.693522,0 days 00:51:44.149186,24,29,7,19,84,33,1,COMPLETE
197,3122.6028314120704,2025-07-01 16:03:43.877182,2025-07-01 16:55:09.915612,0 days 00:51:26.038430,27,20,5,8,62,11,4,COMPLETE
198,4057.546938566029,2025-07-01 16:03:44.062586,2025-07-01 16:55:05.749727,0 days 00:51:21.687141,0,14,7,19,89,34,5,COMPLETE
199,6260.342999959814,2025-07-01 16:03:44.142153,2025-07-01 16:56:50.885924,0 days 00:53:06.743771,14,8,4,15,68,21,3,COMPLETE
200,5418.637312586474,2025-07-01 16:03:44.300402,2025-07-01 16:55:30.635368,0 days 00:51:46.334966,29,9,10,21,83,10,5,COMPLETE
201,3549.9839043092215,2025-07-01 16:03:44.377571,2025-07-01 16:54:35.729129,0 days 00:50:51.351558,30,28,5,10,77,33,3,COMPLETE
202,5148.732253651998,2025-07-01 16:03:44.627910,2025-07-01 16:55:37.483321,0 days 00:51:52.855411,30,18,6,16,82,20,3,COMPLETE
203,5617.0693977169,2025-07-01 16:03:44.840114,2025-07-01 16:53:46.782860,0 days 00:50:01.942746,20,13,8,21,75,21,1,COMPLETE
204,4195.192964490436,2025-07-01 16:03:44.881357,2025-07-01 16:56:21.578438,0 days 00:52:36.697081,19,9,6,14,78,15,3,COMPLETE
205,2657.0274965243207,2025-07-01 16:03:45.520988,2025-07-01 16:54:00.229998,0 days 00:50:14.709010,11,9,6,6,64,40,4,COMPLETE
206,4467.282631462891,2025-07-01 16:03:45.808253,2025-07-01 16:52:25.615933,0 days 00:48:39.807680,27,5,10,14,67,17,1,COMPLETE
207,5096.369180281092,2025-07-01 16:03:46.042270,2025-07-01 16:56:30.719842,0 days 00:52:44.677572,2,5,8,12,60,21,4,COMPLETE
208,3450.9242104788664,2025-07-01 16:03:46.542410,2025-07-01 16:55:40.343949,0 days 00:51:53.801539,23,9,10,20,72,37,3,COMPLETE
209,1408.9227721464867,2025-07-01 16:03:46.691988,2025-07-01 16:55:21.431592,0 days 00:51:34.739604,25,13,3,10,68,40,4,COMPLETE
210,4433.916590923112,2025-07-01 16:03:47.040127,2025-07-01 16:53:29.140275,0 days 00:49:42.100148,9,19,5,5,76,30,4,COMPLETE
211,2202.4464704078564,2025-07-01 16:03:47.498467,2025-07-01 16:56:03.612556,0 days 00:52:16.114089,23,29,4,10,67,35,2,COMPLETE
212,-2342.278163218911,2025-07-01 16:03:47.711697,2025-07-01 16:54:58.084736,0 days 00:51:10.373039,16,9,2,7,62,31,3,COMPLETE
213,459.59328792591987,2025-07-01 16:03:48.396932,2025-07-01 16:56:25.178623,0 days 00:52:36.781691,3,16,3,19,87,35,2,COMPLETE
214,3705.6576071398285,2025-07-01 16:03:48.952227,2025-07-01 16:56:14.749614,0 days 00:52:25.797387,25,16,5,18,63,12,4,COMPLETE
215,4984.621000587186,2025-07-01 16:03:49.332178,2025-07-01 16:54:39.550678,0 days 00:50:50.218500,6,7,2,15,65,13,4,COMPLETE
216,4700.572030481433,2025-07-01 16:03:49.481575,2025-07-01 16:54:59.721165,0 days 00:51:10.239590,9,10,10,5,62,18,4,COMPLETE
217,-1848.51154468397,2025-07-01 16:03:49.646722,2025-07-01 16:54:04.453910,0 days 00:50:14.807188,2,22,2,8,66,35,2,COMPLETE
218,3057.555242490239,2025-07-01 16:03:49.911988,2025-07-01 16:54:50.259110,0 days 00:51:00.347122,7,18,6,9,76,10,5,COMPLETE
219,3567.099398629276,2025-07-01 16:03:49.990004,2025-07-01 16:56:21.313916,0 days 00:52:31.323912,8,26,5,13,76,40,5,COMPLETE
220,20058.672295007407,2025-07-01 16:03:50.021265,2025-07-01 16:56:15.285261,0 days 00:52:25.263996,11,10,10,6,84,29,4,COMPLETE
221,2718.988893578765,2025-07-01 16:03:50.109373,2025-07-01 16:55:28.633426,0 days 00:51:38.524053,9,21,5,10,90,14,4,COMPLETE
222,6592.859011491247,2025-07-01 16:03:50.219858,2025-07-01 16:55:25.794026,0 days 00:51:35.574168,18,29,5,17,74,26,3,COMPLETE
223,5290.996831897234,2025-07-01 16:03:50.507413,2025-07-01 16:56:37.908604,0 days 00:52:47.401191,28,7,5,6,80,31,1,COMPLETE
224,4898.136931034317,2025-07-01 16:03:50.769560,2025-07-01 16:56:11.275325,0 days 00:52:20.505765,15,6,5,15,74,39,1,COMPLETE
225,12308.607940402826,2025-07-01 16:03:50.866166,2025-07-01 16:55:32.948625,0 days 00:51:42.082459,6,19,7,7,83,11,1,COMPLETE
226,1793.3190064542723,2025-07-01 16:03:51.053531,2025-07-01 16:55:05.981674,0 days 00:51:14.928143,14,20,6,18,86,32,1,COMPLETE
227,4006.2996925552115,2025-07-01 16:03:51.228481,2025-07-01 16:55:07.330980,0 days 00:51:16.102499,22,10,6,18,79,29,5,COMPLETE
228,4277.833601644347,2025-07-01 16:03:51.445206,2025-07-01 16:55:51.388237,0 days 00:51:59.943031,19,8,7,13,66,36,4,COMPLETE
229,7467.930380054688,2025-07-01 16:03:51.680888,2025-07-01 16:54:43.452843,0 days 00:50:51.771955,22,30,7,5,63,24,1,COMPLETE
230,4606.782367608152,2025-07-01 16:03:52.055108,2025-07-01 16:56:24.004023,0 days 00:52:31.948915,3,10,2,16,70,33,5,COMPLETE
231,4994.049369486051,2025-07-01 16:03:52.648671,2025-07-01 16:55:20.174966,0 days 00:51:27.526295,27,29,8,19,85,16,1,COMPLETE
232,1259.3750856718816,2025-07-01 16:03:52.874661,2025-07-01 16:55:34.519264,0 days 00:51:41.644603,0,18,2,5,68,35,5,COMPLETE
233,10525.885885333217,2025-07-01 16:03:53.039883,2025-07-01 16:55:51.955381,0 days 00:51:58.915498,11,29,9,14,72,18,1,COMPLETE
234,-1258.3363363176923,2025-07-01 16:03:53.138964,2025-07-01 16:56:12.110215,0 days 00:52:18.971251,0,12,2,5,61,18,2,COMPLETE
235,6268.3176616421715,2025-07-01 16:03:53.634071,2025-07-01 16:56:06.508566,0 days 00:52:12.874495,22,22,8,5,70,14,5,COMPLETE
236,11260.65853805452,2025-07-01 16:03:53.680053,2025-07-01 16:55:27.745464,0 days 00:51:34.065411,4,25,10,14,84,17,1,COMPLETE
237,3457.2515489459474,2025-07-01 16:03:53.787540,2025-07-01 16:56:14.708722,0 days 00:52:20.921182,16,30,8,15,89,39,2,COMPLETE
238,10144.105962414638,2025-07-01 16:03:53.915035,2025-07-01 16:57:24.798072,0 days 00:53:30.883037,14,28,9,21,87,17,2,COMPLETE
239,4325.2402210486625,2025-07-01 16:03:54.198931,2025-07-01 16:57:46.426947,0 days 00:53:52.228016,5,12,6,16,77,26,3,COMPLETE
240,4056.2673125021574,2025-07-01 16:03:54.933031,2025-07-01 16:54:31.801447,0 days 00:50:36.868416,7,21,10,18,84,16,3,COMPLETE
241,5243.530073409863,2025-07-01 16:03:55.528244,2025-07-01 16:55:45.137101,0 days 00:51:49.608857,14,6,5,21,75,40,3,COMPLETE
242,3366.339885678921,2025-07-01 16:03:56.352513,2025-07-01 16:55:52.920116,0 days 00:51:56.567603,1,13,6,8,64,40,2,COMPLETE
243,4536.716369901385,2025-07-01 16:03:56.619508,2025-07-01 16:57:12.393319,0 days 00:53:15.773811,26,19,6,19,60,14,3,COMPLETE
244,4368.811178756345,2025-07-01 16:03:57.302455,2025-07-01 16:56:00.555094,0 days 00:52:03.252639,26,5,4,17,65,15,1,COMPLETE
245,-1853.8833832542496,2025-07-01 16:03:57.400081,2025-07-01 16:56:36.914957,0 days 00:52:39.514876,12,26,2,7,61,33,2,COMPLETE
246,4073.5075270885072,2025-07-01 16:03:57.752803,2025-07-01 16:58:21.834939,0 days 00:54:24.082136,17,13,5,13,80,40,4,COMPLETE
247,4778.459829283773,2025-07-01 16:03:58.019663,2025-07-01 16:56:43.063316,0 days 00:52:45.043653,3,11,8,17,84,40,4,COMPLETE
248,3458.121569933075,2025-07-01 16:03:58.116578,2025-07-01 16:55:59.185557,0 days 00:52:01.068979,19,19,2,5,90,39,1,COMPLETE
249,1040.6117966773381,2025-07-01 16:03:58.799805,2025-07-01 16:56:33.937830,0 days 00:52:35.138025,16,15,4,15,86,24,2,COMPLETE
250,5569.882468760687,2025-07-01 16:03:59.118250,2025-07-01 16:57:11.614818,0 days 00:53:12.496568,1,11,2,9,76,10,1,COMPLETE
251,1545.2119616290438,2025-07-01 16:03:59.308370,2025-07-01 16:57:14.644286,0 days 00:53:15.335916,26,16,3,7,62,18,5,COMPLETE
252,3382.360544516745,2025-07-01 16:03:59.571929,2025-07-01 16:55:58.685706,0 days 00:51:59.113777,3,5,4,8,66,33,1,COMPLETE
253,3781.406872509355,2025-07-01 16:03:59.939202,2025-07-01 16:56:09.194152,0 days 00:52:09.254950,15,9,10,11,77,10,4,COMPLETE
254,2237.9035650476835,2025-07-01 16:04:00.210029,2025-07-01 16:58:51.851452,0 days 00:54:51.641423,21,7,6,9,61,17,3,COMPLETE
255,5068.922308069481,2025-07-01 16:04:00.342457,2025-07-01 16:56:39.606410,0 days 00:52:39.263953,2,23,5,17,74,37,4,COMPLETE
256,3333.8614949165094,2025-07-01 16:04:00.368294,2025-07-01 16:56:42.773201,0 days 00:52:42.404907,4,26,6,9,78,21,3,COMPLETE
257,1336.5933462222656,2025-07-01 16:04:00.547937,2025-07-01 16:57:22.123825,0 days 00:53:21.575888,25,10,2,13,64,30,1,COMPLETE
258,4064.035864737566,2025-07-01 16:04:00.716815,2025-07-01 16:58:20.468827,0 days 00:54:19.752012,14,21,10,10,72,37,4,COMPLETE
259,5269.849792704472,2025-07-01 16:04:01.358087,2025-07-01 16:57:52.535040,0 days 00:53:51.176953,18,22,3,19,81,31,4,COMPLETE
260,5922.479915113385,2025-07-01 16:04:01.703152,2025-07-01 16:56:35.584781,0 days 00:52:33.881629,9,7,4,21,60,30,4,COMPLETE
261,4388.481212206311,2025-07-01 16:04:02.225607,2025-07-01 16:56:39.612748,0 days 00:52:37.387141,29,12,8,15,78,38,4,COMPLETE
262,3070.297083712898,2025-07-01 16:04:02.491309,2025-07-01 16:57:50.621329,0 days 00:53:48.130020,12,8,5,21,63,22,1,COMPLETE
263,6041.533127368034,2025-07-01 16:04:02.683033,2025-07-01 16:56:59.610429,0 days 00:52:56.927396,21,20,8,12,68,20,1,COMPLETE
264,5569.30964983477,2025-07-01 16:04:02.855172,2025-07-01 16:55:44.648123,0 days 00:51:41.792951,7,9,8,13,79,21,3,COMPLETE
265,3215.947304139663,2025-07-01 16:04:03.144002,2025-07-01 16:56:51.185008,0 days 00:52:48.041006,6,14,2,19,82,18,3,COMPLETE
266,2290.8545134354445,2025-07-01 16:04:03.511485,2025-07-01 16:58:08.358558,0 days 00:54:04.847073,10,17,4,13,75,22,2,COMPLETE
267,5198.8928495905575,2025-07-01 16:04:03.774177,2025-07-01 16:56:22.829061,0 days 00:52:19.054884,29,22,6,15,65,26,3,COMPLETE
268,4821.439367651761,2025-07-01 16:04:03.891414,2025-07-01 16:54:44.548301,0 days 00:50:40.656887,17,9,9,16,84,19,4,COMPLETE
269,5075.6987025108665,2025-07-01 16:04:04.163200,2025-07-01 16:56:46.559333,0 days 00:52:42.396133,14,18,10,10,82,36,5,COMPLETE
270,4847.682010551096,2025-07-01 16:04:04.394943,2025-07-01 16:58:41.395141,0 days 00:54:37.000198,19,11,8,20,63,28,3,COMPLETE
271,2583.9489167594293,2025-07-01 16:04:04.574907,2025-07-01 16:57:36.582412,0 days 00:53:32.007505,9,13,4,14,62,34,4,COMPLETE
272,3344.0119497715023,2025-07-01 16:04:04.647326,2025-07-01 16:56:35.376329,0 days 00:52:30.729003,11,8,9,10,67,25,1,COMPLETE
273,2769.115910325465,2025-07-01 16:04:05.202620,2025-07-01 16:58:54.693308,0 days 00:54:49.490688,6,16,5,12,64,39,5,COMPLETE
274,5677.856114603397,2025-07-01 16:04:05.774816,2025-07-01 16:57:14.827517,0 days 00:53:09.052701,1,20,9,16,68,17,5,COMPLETE
275,7680.015994657841,2025-07-01 16:04:05.856865,2025-07-01 16:55:45.841148,0 days 00:51:39.984283,27,9,7,21,90,19,5,COMPLETE
276,3120.898472670033,2025-07-01 16:04:05.995464,2025-07-01 16:58:14.443426,0 days 00:54:08.447962,12,23,8,19,83,29,3,COMPLETE
277,8423.416284756471,2025-07-01 16:04:06.723672,2025-07-01 16:56:25.385195,0 days 00:52:18.661523,21,18,5,17,90,17,4,COMPLETE
278,-1887.4757376195485,2025-07-01 16:04:06.785703,2025-07-01 16:56:39.627926,0 days 00:52:32.842223,1,29,6,15,89,27,4,COMPLETE
279,4333.607086906199,2025-07-01 16:04:07.104993,2025-07-01 16:58:50.511119,0 days 00:54:43.406126,22,14,6,18,77,31,5,COMPLETE
280,4000.476656281673,2025-07-01 16:04:07.431801,2025-07-01 16:56:28.272764,0 days 00:52:20.840963,28,17,8,17,71,17,5,COMPLETE
281,3110.752536825481,2025-07-01 16:04:07.655170,2025-07-01 16:58:46.350351,0 days 00:54:38.695181,6,26,7,10,78,32,4,COMPLETE
282,4967.242588628568,2025-07-01 16:04:08.143472,2025-07-01 16:57:27.393433,0 days 00:53:19.249961,24,8,2,19,79,32,5,COMPLETE
283,3566.085824478784,2025-07-01 16:04:08.242967,2025-07-01 16:56:29.454767,0 days 00:52:21.211800,19,29,6,10,87,23,5,COMPLETE
284,7975.099415439961,2025-07-01 16:04:08.386601,2025-07-01 16:57:17.331349,0 days 00:53:08.944748,4,11,4,19,89,33,1,COMPLETE
285,3256.020800518858,2025-07-01 16:04:09.029233,2025-07-01 16:57:52.004226,0 days 00:53:42.974993,15,15,4,10,64,12,3,COMPLETE
286,2215.0260403386656,2025-07-01 16:04:09.211084,2025-07-01 16:57:32.756956,0 days 00:53:23.545872,4,18,2,7,87,28,2,COMPLETE
287,4996.317480003699,2025-07-01 16:04:09.257301,2025-07-01 16:57:26.813843,0 days 00:53:17.556542,3,9,2,18,89,34,5,COMPLETE
288,5317.206695586077,2025-07-01 16:04:09.862991,2025-07-01 16:58:20.573518,0 days 00:54:10.710527,15,26,7,18,89,10,4,COMPLETE
289,4438.6961154211895,2025-07-01 16:04:09.919479,2025-07-01 16:56:57.787389,0 days 00:52:47.867910,18,30,3,13,72,23,4,COMPLETE
290,8617.286106572672,2025-07-01 16:04:09.984025,2025-07-01 16:57:36.799159,0 days 00:53:26.815134,14,29,2,16,78,10,4,COMPLETE
291,4290.297124465416,2025-07-01 16:04:10.291817,2025-07-01 16:58:36.752044,0 days 00:54:26.460227,8,18,10,13,82,38,1,COMPLETE
292,5200.906370132239,2025-07-01 16:04:10.316990,2025-07-01 16:57:52.153416,0 days 00:53:41.836426,13,28,4,20,76,38,3,COMPLETE
293,5698.251932838926,2025-07-01 16:04:10.750277,2025-07-01 16:55:47.419369,0 days 00:51:36.669092,21,26,10,21,69,38,1,COMPLETE
294,8343.99183968428,2025-07-01 16:04:10.775911,2025-07-01 16:57:40.991024,0 days 00:53:30.215113,1,28,3,16,66,11,4,COMPLETE
295,-1259.100810652466,2025-07-01 16:04:11.230505,2025-07-01 16:57:14.405150,0 days 00:53:03.174645,17,23,4,7,82,31,1,COMPLETE
296,3407.8943703038112,2025-07-01 16:04:11.513041,2025-07-01 16:57:20.917772,0 days 00:53:09.404731,12,15,2,13,71,15,4,COMPLETE
297,6386.05671320604,2025-07-01 16:04:11.859878,2025-07-01 16:55:49.935996,0 days 00:51:38.076118,12,17,9,15,73,19,2,COMPLETE
298,6741.691494883473,2025-07-01 16:04:11.967099,2025-07-01 16:57:15.217063,0 days 00:53:03.249964,9,23,10,14,72,18,1,COMPLETE
299,9215.277746732892,2025-07-01 16:04:12.070454,2025-07-01 16:57:11.682690,0 days 00:52:59.612236,4,23,8,18,73,15,2,COMPLETE
300,4536.205343328461,2025-07-01 16:04:12.167276,2025-07-01 16:58:52.530031,0 days 00:54:40.362755,18,24,8,6,62,27,5,COMPLETE
301,4275.4798654594615,2025-07-01 16:04:12.311836,2025-07-01 16:57:04.620260,0 days 00:52:52.308424,29,11,2,5,83,19,5,COMPLETE
302,9214.634434193536,2025-07-01 16:04:12.980522,2025-07-01 16:57:31.434965,0 days 00:53:18.454443,3,24,10,9,71,21,1,COMPLETE
303,3668.0570363865154,2025-07-01 16:04:13.558760,2025-07-01 16:56:57.051380,0 days 00:52:43.492620,3,13,10,18,77,34,4,COMPLETE
304,7840.739006365413,2025-07-01 16:04:14.332990,2025-07-01 16:58:47.677293,0 days 00:54:33.344303,8,17,9,7,72,20,4,COMPLETE
305,4403.390326679145,2025-07-01 16:04:14.435572,2025-07-01 16:58:09.630666,0 days 00:53:55.195094,20,9,2,15,67,20,2,COMPLETE
306,1663.2783623663363,2025-07-01 16:04:14.518964,2025-07-01 16:58:50.253416,0 days 00:54:35.734452,2,11,10,8,68,29,4,COMPLETE
307,2566.963860659097,2025-07-01 16:04:14.575654,2025-07-01 16:58:58.393662,0 days 00:54:43.818008,13,15,10,7,63,32,4,COMPLETE
308,4113.224068204083,2025-07-01 16:04:14.746367,2025-07-01 16:58:28.125318,0 days 00:54:13.378951,14,7,2,12,81,24,1,COMPLETE
309,5050.132344367268,2025-07-01 16:04:14.777435,2025-07-01 16:57:09.965339,0 days 00:52:55.187904,27,21,10,17,72,16,5,COMPLETE
310,3080.6645552188284,2025-07-01 16:04:15.200053,2025-07-01 16:58:31.594298,0 days 00:54:16.394245,20,12,3,8,67,29,3,COMPLETE
311,6138.201310051751,2025-07-01 16:04:15.345524,2025-07-01 16:58:43.533022,0 days 00:54:28.187498,2,15,7,6,76,25,5,COMPLETE
312,3705.950369900689,2025-07-01 16:04:15.468329,2025-07-01 16:57:32.354341,0 days 00:53:16.886012,17,5,8,14,61,34,1,COMPLETE
313,50817.943845657996,2025-07-01 16:04:16.150832,2025-07-01 16:49:10.807936,0 days 00:44:54.657104,20,12,10,5,89,34,1,COMPLETE
314,2243.540660729068,2025-07-01 16:04:16.429224,2025-07-01 16:58:11.981628,0 days 00:53:55.552404,26,20,5,12,66,24,2,COMPLETE
315,6871.765502596218,2025-07-01 16:04:16.470282,2025-07-01 16:59:21.315090,0 days 00:55:04.844808,5,18,5,19,76,14,2,COMPLETE
316,2316.832120681127,2025-07-01 16:04:16.557708,2025-07-01 16:58:45.957409,0 days 00:54:29.399701,4,29,7,11,86,38,1,COMPLETE
317,-121.01216159830983,2025-07-01 16:04:16.925791,2025-07-01 16:58:20.844103,0 days 00:54:03.918312,27,26,7,5,60,32,1,COMPLETE
318,4047.718495092273,2025-07-01 16:04:17.458136,2025-07-01 16:59:27.512849,0 days 00:55:10.054713,21,20,8,13,72,37,1,COMPLETE
319,4910.879832210078,2025-07-01 16:04:18.036389,2025-07-01 16:57:50.651136,0 days 00:53:32.614747,11,21,6,6,71,24,3,COMPLETE
320,3306.1053185644396,2025-07-01 16:04:18.118854,2025-07-01 16:58:42.518942,0 days 00:54:24.400088,0,21,4,11,60,20,1,COMPLETE
321,4239.01157856013,2025-07-01 16:04:18.395023,2025-07-01 16:57:31.430115,0 days 00:53:13.035092,6,25,5,14,64,23,4,COMPLETE
322,9190.36377400564,2025-07-01 16:04:18.650344,2025-07-01 16:57:46.066636,0 days 00:53:27.416292,3,15,5,11,74,11,2,COMPLETE
323,6135.376505279348,2025-07-01 16:04:18.880089,2025-07-01 16:58:43.287857,0 days 00:54:24.407768,15,16,5,17,62,11,2,COMPLETE
324,4098.792067651005,2025-07-01 16:04:19.337083,2025-07-01 16:58:56.112019,0 days 00:54:36.774936,12,6,10,11,63,33,5,COMPLETE
325,5336.267763037367,2025-07-01 16:04:19.614456,2025-07-01 16:58:19.830242,0 days 00:54:00.215786,15,28,4,8,81,13,3,COMPLETE
326,4733.432416666768,2025-07-01 16:04:20.040767,2025-07-01 16:58:58.679733,0 days 00:54:38.638966,23,11,9,10,61,11,2,COMPLETE
327,7835.298748272462,2025-07-01 16:04:20.245610,2025-07-01 16:57:55.648496,0 days 00:53:35.402886,13,29,3,8,77,13,5,COMPLETE
328,4247.69845875453,2025-07-01 16:04:20.740960,2025-07-01 16:59:13.412649,0 days 00:54:52.671689,21,20,2,17,70,40,1,COMPLETE
329,8610.76050292668,2025-07-01 16:04:20.777476,2025-07-01 16:57:30.292434,0 days 00:53:09.514958,21,25,9,18,81,18,1,COMPLETE
330,7044.272834938952,2025-07-01 16:04:21.162685,2025-07-01 16:59:20.359963,0 days 00:54:59.197278,20,27,4,5,82,28,5,COMPLETE
331,5951.134830385896,2025-07-01 16:04:21.337242,2025-07-01 16:58:55.487526,0 days 00:54:34.150284,19,30,9,8,82,29,2,COMPLETE
332,6266.102889857708,2025-07-01 16:04:21.498668,2025-07-01 16:59:05.155732,0 days 00:54:43.657064,13,13,9,7,90,26,4,COMPLETE
333,-3226.296026905782,2025-07-01 16:04:21.786325,2025-07-01 16:59:10.201950,0 days 00:54:48.415625,2,28,2,5,65,39,1,COMPLETE
334,3904.6004905729314,2025-07-01 16:04:22.408654,2025-07-01 16:58:06.353514,0 days 00:53:43.944860,8,23,6,16,87,34,2,COMPLETE
335,4778.708050924506,2025-07-01 16:04:22.459289,2025-07-01 16:59:11.517826,0 days 00:54:49.058537,29,24,6,16,81,27,1,COMPLETE
336,5510.688031503085,2025-07-01 16:04:22.470882,2025-07-01 16:57:40.884747,0 days 00:53:18.413865,4,11,8,8,88,24,3,COMPLETE
337,6277.333751767324,2025-07-01 16:04:22.605694,2025-07-01 16:58:40.117409,0 days 00:54:17.511715,8,29,5,18,90,17,2,COMPLETE
338,3747.4219959430147,2025-07-01 16:04:22.717197,2025-07-01 16:58:53.102214,0 days 00:54:30.385017,12,12,5,7,73,33,5,COMPLETE
339,-138.27866097306386,2025-07-01 16:04:22.758123,2025-07-01 16:59:19.012235,0 days 00:54:56.254112,5,28,8,9,70,11,4,COMPLETE
340,2880.1927507668042,2025-07-01 16:04:22.861328,2025-07-01 16:58:47.531626,0 days 00:54:24.670298,10,5,2,11,69,36,1,COMPLETE
341,2641.8757493330886,2025-07-01 16:04:23.093125,2025-07-01 16:58:53.330272,0 days 00:54:30.237147,10,9,2,10,72,21,4,COMPLETE
342,3160.443051404339,2025-07-01 16:04:23.340495,2025-07-01 16:58:57.502589,0 days 00:54:34.162094,1,15,2,13,66,35,3,COMPLETE
343,4460.995071477205,2025-07-01 16:04:23.443186,2025-07-01 16:59:51.348730,0 days 00:55:27.905544,3,19,7,10,60,29,2,COMPLETE
344,4157.093941766793,2025-07-01 16:04:23.688383,2025-07-01 16:58:41.654746,0 days 00:54:17.966363,2,22,4,9,74,34,4,COMPLETE
345,4729.431715445956,2025-07-01 16:04:23.749718,2025-07-01 16:59:08.648868,0 days 00:54:44.899150,24,19,4,15,72,30,1,COMPLETE
346,4118.5252908256425,2025-07-01 16:04:24.058320,2025-07-01 16:58:59.802547,0 days 00:54:35.744227,11,7,10,18,67,34,5,COMPLETE
347,4379.283830072882,2025-07-01 16:04:24.112402,2025-07-01 16:59:30.161255,0 days 00:55:06.048853,9,25,2,12,88,11,5,COMPLETE
348,749.6123862226141,2025-07-01 16:04:24.283601,2025-07-01 16:59:06.135091,0 days 00:54:41.851490,23,11,5,8,87,40,2,COMPLETE
349,5595.347270585044,2025-07-01 16:04:24.585486,2025-07-01 16:58:43.051659,0 days 00:54:18.466173,18,29,7,13,65,12,2,COMPLETE
350,-1036.5954275214135,2025-07-01 16:04:24.849267,2025-07-01 16:59:04.242259,0 days 00:54:39.392992,29,19,4,7,88,25,2,COMPLETE
351,5817.896959134737,2025-07-01 16:04:24.900088,2025-07-01 16:58:05.125583,0 days 00:53:40.225495,18,22,8,7,61,25,5,COMPLETE
352,4225.765558231992,2025-07-01 16:04:25.033776,2025-07-01 16:59:07.694656,0 days 00:54:42.660880,12,16,9,19,64,37,4,COMPLETE
353,3967.1706458499893,2025-07-01 16:04:25.087419,2025-07-01 16:59:27.695614,0 days 00:55:02.608195,15,29,10,11,86,17,4,COMPLETE
354,6824.816494832006,2025-07-01 16:04:25.737409,2025-07-01 16:58:19.263559,0 days 00:53:53.526150,20,27,4,21,88,14,5,COMPLETE
355,3452.850311209222,2025-07-01 16:04:26.341085,2025-07-01 16:59:02.116464,0 days 00:54:35.775379,7,17,2,19,87,24,3,COMPLETE
356,4534.330473906881,2025-07-01 16:04:26.366962,2025-07-01 16:59:30.756681,0 days 00:55:04.389719,1,10,6,7,75,40,3,COMPLETE
357,2427.3225250313244,2025-07-01 16:04:26.790347,2025-07-01 16:58:48.262773,0 days 00:54:21.472426,0,13,5,11,84,39,3,COMPLETE
358,4147.846874298022,2025-07-01 16:04:27.386680,2025-07-01 16:59:18.876683,0 days 00:54:51.490003,22,25,8,14,64,29,3,COMPLETE
