number,value,datetime_start,datetime_complete,duration,params_rsi_oversold,params_rsi_period,params_stoch_d_period,params_stoch_k_period,params_stoch_overbought,params_stoch_oversold,params_stoch_smooth_period,state
40,6434.700317485421,2025-07-01 16:03:12.911846,2025-07-01 16:10:27.991897,0 days 00:07:15.080051,9,18,6,8,72,13,5,COMPLETE
41,10249.258803175457,2025-07-01 16:03:12.918580,2025-07-01 16:10:36.951912,0 days 00:07:24.033332,1,5,10,6,81,30,2,COMPLETE
42,3848.0747821409077,2025-07-01 16:03:12.921799,2025-07-01 16:10:43.712164,0 days 00:07:30.790365,17,19,4,6,71,25,5,COMPLETE
43,3906.9285486261288,2025-07-01 16:03:12.925780,2025-07-01 16:10:39.604214,0 days 00:07:26.678434,22,15,7,12,67,34,5,COMPLETE
44,3581.9388558833007,2025-07-01 16:03:12.930271,2025-07-01 16:12:29.887069,0 days 00:09:16.956798,16,22,4,15,62,34,3,COMPLETE
45,3202.3096225722784,2025-07-01 16:03:12.944339,2025-07-01 16:12:26.179247,0 days 00:09:13.234908,3,24,2,21,87,29,2,COMPLETE
46,6185.940938257734,2025-07-01 16:03:12.950136,2025-07-01 16:12:26.769775,0 days 00:09:13.819639,14,13,2,17,72,11,5,COMPLETE
47,6158.904286964296,2025-07-01 16:03:12.956063,2025-07-01 16:11:47.112249,0 days 00:08:34.156186,17,13,6,10,84,12,3,COMPLETE
48,10348.193333954468,2025-07-01 16:03:12.961155,2025-07-01 16:12:31.511728,0 days 00:09:18.550573,3,30,10,18,69,10,2,COMPLETE
49,3921.645267873535,2025-07-01 16:03:12.964407,2025-07-01 16:12:57.144429,0 days 00:09:44.180022,16,11,6,15,68,37,1,COMPLETE
50,5433.569406144821,2025-07-01 16:03:12.972700,2025-07-01 16:12:56.437628,0 days 00:09:43.464928,30,13,2,20,70,30,5,COMPLETE
51,0.0,2025-07-01 16:03:12.980216,2025-07-01 16:25:44.802332,0 days 00:22:31.822116,29,27,9,7,90,18,5,COMPLETE
52,6382.763038132104,2025-07-01 16:03:12.985392,2025-07-01 16:23:11.601407,0 days 00:19:58.616015,14,22,10,12,76,12,5,COMPLETE
53,13651.893891762054,2025-07-01 16:03:12.988347,2025-07-01 16:23:22.937279,0 days 00:20:09.948932,11,23,8,16,61,11,1,COMPLETE
54,3615.7735830589536,2025-07-01 16:03:12.998407,2025-07-01 16:22:19.142601,0 days 00:19:06.144194,18,28,2,19,86,29,5,COMPLETE
55,6312.464879990261,2025-07-01 16:03:13.002658,2025-07-01 16:25:47.713314,0 days 00:22:34.710656,6,16,5,18,64,17,4,COMPLETE
56,5827.751884279274,2025-07-01 16:03:13.008478,2025-07-01 16:25:45.948242,0 days 00:22:32.939764,16,26,6,11,78,18,2,COMPLETE
57,5843.289760520105,2025-07-01 16:03:13.010959,2025-07-01 16:24:47.658702,0 days 00:21:34.647743,6,6,4,19,77,11,5,COMPLETE
58,3025.1498949930137,2025-07-01 16:03:13.015545,2025-07-01 16:28:44.653366,0 days 00:25:31.637821,1,6,3,13,68,32,4,COMPLETE
59,5419.140810612271,2025-07-01 16:03:13.016699,2025-07-01 16:26:55.404944,0 days 00:23:42.388245,8,20,8,16,61,28,3,COMPLETE
60,3849.4008265590783,2025-07-01 16:03:13.022037,2025-07-01 16:21:53.636705,0 days 00:18:40.614668,30,8,6,9,77,11,1,COMPLETE
61,3564.9580052433557,2025-07-01 16:03:13.027638,2025-07-01 16:24:28.158563,0 days 00:21:15.130925,6,28,7,13,83,36,2,COMPLETE
