number,value,datetime_start,datetime_complete,duration,params_atr_multiplier,params_atr_period,params_ema_period,state
42,2558.0101565622845,2025-08-03 22:51:34.686451,2025-08-03 22:51:52.654655,0 days 00:00:17.968204,3.5534536737415605,33,51,COMPLETE
43,9125.506596918227,2025-08-03 22:51:34.751678,2025-08-03 22:51:44.108977,0 days 00:00:09.357299,1.723604902984662,12,83,COMPLETE
44,331.4374717785868,2025-08-03 22:51:34.819036,2025-08-03 22:51:53.541123,0 days 00:00:18.722087,0.95480922313727,21,96,COMPLETE
45,3521.566957889583,2025-08-03 22:51:34.840638,2025-08-03 22:51:53.831962,0 days 00:00:18.991324,4.079879207939671,48,85,COMPLETE
46,3528.0771446071153,2025-08-03 22:51:34.912209,2025-08-03 22:51:53.468708,0 days 00:00:18.556499,2.058912627841982,42,49,COMPLETE
47,1347.8451049030639,2025-08-03 22:51:35.026746,2025-08-03 22:51:54.189596,0 days 00:00:19.162850,2.44539545883551,16,71,COMPLETE
48,2637.1631839555016,2025-08-03 22:51:35.214338,2025-08-03 22:51:54.319695,0 days 00:00:19.105357,1.392288547386698,43,59,COMPLETE
49,2701.1360344012387,2025-08-03 22:51:35.241622,2025-08-03 22:51:55.578076,0 days 00:00:20.336454,0.9407587047676533,31,32,COMPLETE
50,1820.3878253419512,2025-08-03 22:51:35.257862,2025-08-03 22:51:56.502764,0 days 00:00:21.244902,2.254125462802264,48,67,COMPLETE
51,6511.503370506001,2025-08-03 22:51:35.289457,2025-08-03 22:51:56.294354,0 days 00:00:21.004897,1.7547334353832529,10,66,COMPLETE
52,1488.1837425804424,2025-08-03 22:51:35.316160,2025-08-03 22:51:56.614536,0 days 00:00:21.298376,2.991103841201467,25,40,COMPLETE
53,804.840638135117,2025-08-03 22:51:35.330970,2025-08-03 22:51:57.116699,0 days 00:00:21.785729,0.7799192916480933,28,87,COMPLETE
54,441.7722587158028,2025-08-03 22:51:35.361166,2025-08-03 22:51:58.255121,0 days 00:00:22.893955,2.7430846160528852,27,40,COMPLETE
55,1719.7130999033693,2025-08-03 22:51:35.377752,2025-08-03 22:51:58.073079,0 days 00:00:22.695327,2.2209351852812924,34,89,COMPLETE
56,1546.7162278932988,2025-08-03 22:51:35.388932,2025-08-03 22:51:58.886560,0 days 00:00:23.497628,2.8663575203444864,34,75,COMPLETE
